evidence_id,execution_id,requirement_id,linked_judgment_unit_ids,source_run_id,source_id,source_date,source_locator,claim_text,statement_nature,normalized_fact,fact_status,evidence_role,grounds_input_ids,evidence_profile_refs,state_variable_ids,quality_status,source_authority,directness,traceability,independence,independence_group_id,time_relevance,scope_match,conflict_status,conflict_group_id,counter_evidence_flag,quote_ref,notes,evidence_basket_ids,direct_scope_ref,maximum_generalization_scope_ref,scope_relation_to_requirement
EV-01,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-01,JU-01|JU-04,SR-001,SRC-BIS-2022,2022-10-07,官方规则页,2022年建立先进计算和设备定向控制,reported_fact,初始控制基线,confirmed,primary_support,RI-01,EP-POLICY-01,SV-01,Q4,official,direct,full,independent,BIS-2022,high,high,no_material_conflict,,false,官方页,规则事实,EB-01|EB-10,SCOPE-EXPORT-CONTROL,SCOPE-EXPORT-CONTROL,overlap
EV-02,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-01,JU-01|JU-04,SR-002,SRC-BIS-2023,2023-10-17,官方更新页,2023年增加设备并收紧规避路径,reported_fact,控制范围加深,confirmed,cross_validation,RI-01,EP-POLICY-01,SV-01,Q4,official,direct,full,independent,BIS-2023,high,high,no_material_conflict,,false,官方页,政策交叉验证,EB-01|EB-10,SCOPE-EXPORT-CONTROL,SCOPE-EXPORT-CONTROL,overlap
EV-03,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-01|ER-08,JU-01|JU-03|JU-04,SR-003,SRC-BIS-2024,2024-12-02,官方更新页,新增24类设备3类软件和140实体,reported_fact,覆盖多类前道设备及软件,confirmed,primary_support,RI-01,EP-POLICY-01|EP-UPSTREAM-01,SV-01|SV-06,Q4,official,direct,full,independent,BIS-2024,high,high,no_material_conflict,,false,官方页,不等于全面禁运,EB-01|EB-08|EB-10,SCOPE-CN-SEMI-EQUIPMENT-THESIS,SCOPE-CN-SEMI-EQUIPMENT-THESIS,overlap
EV-04,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-02,JU-01|JU-04,SR-004,SRC-BIS-VEU,2025-08-29,官方页,外资在华晶圆厂VEU撤销并转许可管理,reported_fact,既有运营和扩产升级许可政策分开,confirmed,cross_validation,RI-02,EP-POLICY-GATE-01,SV-08,Q4,official,direct,full,independent,BIS-VEU,high,high,no_material_conflict,,false,官方页,已生效,EB-01|EB-10,SCOPE-EXPORT-CONTROL,SCOPE-EXPORT-CONTROL,overlap
EV-05,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-02,JU-01|JU-04,SR-005,SRC-BIS-AFFIL,2025-11-12,Federal Register,附属实体规则暂停至2026年11月9日并预定恢复,rule_text,未来十二个月规则跟踪变量,confirmed,cross_validation,RI-02,EP-POLICY-GATE-01,SV-08,Q4,official,direct,full,independent,BIS-AFFIL,high,high,no_material_conflict,,true,法规PDF,当前未生效,EB-01|EB-10,SCOPE-EXPORT-CONTROL,SCOPE-EXPORT-CONTROL,overlap
EV-06,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-02,JU-01|JU-04,SR-006,SRC-BIS-PENALTY,2026-02-12,官方处罚页,应用材料相关违规出口处罚约2.52亿美元,reported_fact,执法具有现实财务成本,confirmed,cross_validation,RI-03,EP-POLICY-01,SV-01,Q4,official,direct,full,independent,BIS-PENALTY,high,high,no_material_conflict,,false,官方页,单案不外推全部交易,EB-01|EB-10,SCOPE-EXPORT-CONTROL,SCOPE-EXPORT-CONTROL,overlap
EV-07,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-03,JU-01|JU-04,SR-007,SRC-KLA-2025,2025-08-08,SEC年报,KLA中国收入占比2023至2025为27%|43%|33%,financial_data,中国业务仍显著但回落,confirmed,counter_evidence,RI-04,EP-SUPPLY-COUNTER-01,SV-02,Q3,filing,direct,full,independent,KLA,high,medium,no_material_conflict,,true,SEC filing,反面证据否定全面退出,EB-01|EB-10,SCOPE-EXPORT-CONTROL,SCOPE-EXPORT-CONTROL,overlap
EV-08,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-03,JU-01|JU-04,SR-008,SRC-AXCELIS-2025,2026-02-20,SEC年报,仍可向绝大多数中国客户发货,management_statement,成熟制程部分供给仍在,confirmed,counter_evidence,RI-04,EP-SUPPLY-COUNTER-01,SV-02,Q3,filing,direct,full,independent,AXCELIS,high,medium,no_material_conflict,,true,SEC filing,只代表该公司,EB-01|EB-10,SCOPE-EXPORT-CONTROL,SCOPE-EXPORT-CONTROL,overlap
EV-09,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-03,JU-01|JU-04,SR-009,SRC-ASML-2025,2026-02-25,公司年报,中国DUV业务强于预期,management_statement,成熟光刻供给仍有残余,confirmed,counter_evidence,RI-04,EP-SUPPLY-COUNTER-01,SV-02,Q3,filing,direct,full,independent,ASML,high,medium,no_material_conflict,,true,公司年报,不代表先进光刻开放,EB-01|EB-10,SCOPE-EXPORT-CONTROL,SCOPE-EXPORT-CONTROL,overlap
EV-10,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-04,JU-02|JU-04,SR-010,SRC-SEMI-BILLINGS,2026-04-07,SEMI统计,中国2025设备销售493亿美元同比下降0.5%,financial_data,需求大但处于高位平台,confirmed,primary_support,RI-05,EP-DEMAND-01,SV-03,Q4,association,direct,full,independent,SEMI-BILLINGS,high,high,no_material_conflict,,true,SEMI release,不等于国产订单,EB-04|EB-10,SCOPE-COMMERCIAL-REALIZATION,SCOPE-COMMERCIAL-REALIZATION,overlap
EV-11,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-04,JU-02|JU-04,SR-011,SRC-SEMI-FORECAST,2025-12-16,SEMI预测,全球设备销售2025至2027预计增长且中国领先但趋缓,forecast,全球向上与中国趋缓并存,forecast,counter_evidence,RI-06,EP-DEMAND-01,SV-03,Q3,association,direct,full,independent,SEMI-FORECAST,medium,high,no_material_conflict,,true,SEMI release,预测会修订,EB-04|EB-10,SCOPE-COMMERCIAL-REALIZATION,SCOPE-COMMERCIAL-REALIZATION,overlap
EV-12,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-04,JU-02|JU-04,SR-012,SRC-HUAHONG-2025,2026-03-26,港交所年报,华虹8英寸和12英寸利用率高于100%且Fab9爬坡,financial_data,晶圆厂需求仍有项目支撑,confirmed,cross_validation,RI-05,EP-DEMAND-01,SV-03,Q3,filing,direct,full,independent,HUAHONG,high,medium,no_material_conflict,,false,年报PDF,单一晶圆厂样本,EB-04|EB-10,SCOPE-COMMERCIAL-REALIZATION,SCOPE-COMMERCIAL-REALIZATION,overlap
EV-13,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-05|ER-06,JU-02|JU-03|JU-04,SR-013,SRC-SSE-2024,2025-04-30,上交所汇总,十余家设备公司出货超16000台且营收增长38.8%,financial_data,国产设备已形成规模出货,confirmed,primary_support,RI-07,EP-COMMERCIALIZATION-01,SV-04|SV-07,Q3,exchange,direct,full,independent,SSE-2024,medium,high,no_material_conflict,,false,交易所页,不等于统一国产化率,EB-04|EB-08|EB-10,SCOPE-CN-SEMI-EQUIPMENT-THESIS,SCOPE-CN-SEMI-EQUIPMENT-THESIS,overlap
EV-14,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-05|ER-06|ER-07,JU-02|JU-03|JU-04,SR-014,SRC-NAURA-2025,2026-04-18,公司年报,营收393.53亿元同比30.85%且设备收入高增但毛利下降,financial_data,平台设备扩张伴随利润质量压力,confirmed,cross_validation,RI-08,EP-FINANCIAL-01,SV-04|SV-05|SV-07,Q4,filing,direct,full,independent,NAURA,high,high,no_material_conflict,,true,年报PDF,强兑现样本,EB-04|EB-08|EB-10,SCOPE-CN-SEMI-EQUIPMENT-THESIS,SCOPE-CN-SEMI-EQUIPMENT-THESIS,overlap
EV-15,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-05|ER-06,JU-02|JU-03|JU-04,SR-015,SRC-AMEC-H1,2025-08-29,公司半年报,LPCVD与ALD获大批量重复订单,management_statement,沉积设备出现复购,confirmed,cross_validation,RI-09,EP-COMMERCIALIZATION-01,SV-04|SV-07,Q3,filing,direct,full,independent,AMEC,high,high,no_material_conflict,,false,半年报PDF,客户台数未披露,EB-04|EB-08|EB-10,SCOPE-CN-SEMI-EQUIPMENT-THESIS,SCOPE-CN-SEMI-EQUIPMENT-THESIS,overlap
