claim_id,execution_id,source_document_id,source_run_refs,locator,statement,claim_type,business_time,claim_confidence,about_instance_refs,status,created_at,notes
CL-EV-01,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-BIS-2022,SR-001,官方规则页,2022年建立先进计算和设备定向控制,reported_fact,2022-10-07,high,INS-CONTROL,active,2026-07-10T19:10:00+08:00,
CL-EV-02,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-BIS-2023,SR-002,官方更新页,2023年增加设备并收紧规避路径,reported_fact,2023-10-17,high,INS-CONTROL,active,2026-07-10T19:10:00+08:00,
CL-EV-03,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-BIS-2024,SR-003,官方更新页,新增24类设备3类软件和140实体,reported_fact,2024-12-02,high,INS-CONTROL,active,2026-07-10T19:10:00+08:00,
CL-EV-04,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-BIS-VEU,SR-004,官方页,外资在华晶圆厂VEU撤销并转许可管理,reported_fact,2025-12-31,high,INS-CONTROL,active,2026-07-10T19:10:00+08:00,
CL-EV-05,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-BIS-AFFIL,SR-005,Federal Register,附属实体规则暂停至2026年11月9日并预定恢复,reported_fact,2025-11-10至2027-07-09,high,INS-CONTROL,active,2026-07-10T19:10:00+08:00,未来条款不计当前基线
CL-EV-06,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-BIS-PENALTY,SR-006,官方处罚页,应用材料相关违规出口处罚约2.52亿美元,reported_fact,2021-01-01至2026-02-12,high,INS-CONTROL,active,2026-07-10T19:10:00+08:00,
CL-EV-07,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-KLA-2025,SR-007,SEC年报,KLA中国收入占比2023至2025为27%|43%|33%,data_point,2023至2025,high,,active,2026-07-10T19:10:00+08:00,反面证据
CL-EV-08,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-AXCELIS-2025,SR-008,SEC年报,仍可向绝大多数中国客户发货,reported_fact,2025,high,,active,2026-07-10T19:10:00+08:00,反面证据
CL-EV-09,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-ASML-2025,SR-009,公司年报,中国DUV业务强于预期,reported_fact,2025,high,,active,2026-07-10T19:10:00+08:00,反面证据
CL-EV-10,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-SEMI-BILLINGS,SR-010,SEMI统计,中国2025设备销售493亿美元同比下降0.5%,data_point,2025,high,INS-INDUSTRY,active,2026-07-10T19:10:00+08:00,
CL-EV-11,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-SEMI-FORECAST,SR-011,SEMI预测,全球设备销售2025至2027预计增长且中国领先但趋缓,forecast,2025至2027,medium,INS-INDUSTRY,active,2026-07-10T19:10:00+08:00,预测会修订
CL-EV-12,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-HUAHONG-2025,SR-012,港交所年报,华虹8英寸和12英寸利用率高于100%且Fab9爬坡,data_point,2025,high,INS-INDUSTRY,active,2026-07-10T19:10:00+08:00,单一晶圆厂样本
CL-EV-13,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-SSE-2024,SR-013,上交所汇总,十余家设备公司出货超16000台且营收增长38.8%,data_point,2024,medium,INS-INDUSTRY,active,2026-07-10T19:10:00+08:00,
CL-EV-14,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-NAURA-2025,SR-014,公司年报,营收393.53亿元同比30.85%且设备收入高增但毛利下降,data_point,2025,high,INS-NAURA,active,2026-07-10T19:10:00+08:00,
CL-EV-15,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-AMEC-H1,SR-015,公司半年报,LPCVD与ALD获大批量重复订单,reported_fact,2025H1,high,INS-AMEC,active,2026-07-10T19:10:00+08:00,
CL-EV-16,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-PIOTECH-2025,SR-016,公司年报,营收65.19亿元同比58.87%且混合键合获批量订单,data_point,2025,high,INS-PIOTECH,active,2026-07-10T19:10:00+08:00,
CL-EV-17,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-ACMR-2025,SR-017,SEC年报,美国部件软件受限且替代需客户再认证,reported_fact,2025,high,INS-ACM,active,2026-07-10T19:10:00+08:00,
CL-EV-18,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-HWATSING-2025,SR-018,公司年报,装备收入40.54亿元同比约33.46%且湿法批量销售,data_point,2025,high,INS-HWATSING,active,2026-07-10T19:10:00+08:00,
CL-EV-19,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-KINGSEMI-2025,SR-019,公司年报,营收增长11.11%但净利下降64.64%,data_point,2025,high,INS-KINGSEMI,active,2026-07-10T19:10:00+08:00,反面证据
CL-EV-20,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-SSE-2025,SR-020,上交所汇总,盛美上海营收67.86亿元同比20.80%,data_point,2025,medium,INS-ACM,active,2026-07-10T19:10:00+08:00,
