input_id,execution_id,requirement_id,linked_judgment_unit_ids,state_binding_ref,observation_requirement_ref,input_type,target_instance_id,anchor_instance_type,primary_state_variable_id,supports_state_variable_ids,evidence_profile_refs,event_type,raw_value,raw_unit,normalized_value,normalized_unit,currency,direction,value_type,data_granularity,is_forward_looking,business_time_start,business_time_end,publication_time,scope,statement_nature,verification_status,source_run_refs,evidence_refs,transformation_ref,notes
RI-01,EXEC-MEM-CYCLE-20260707-1,IR-OBS-01,JU-01|JU-02,IR-SB-01,IR-OBS-01,Observation,INST-AI-DC,Application,end_market_demand_strength,end_market_demand_strength,demand_orders,,Micron expects 2026 server units to grow high-teens percent; data-center DRAM and NAND bit shipments to more than double versus two years ago,qualitative,AI/server demand high and increasing,qualitative,,increase,qualitative,single_observation,true,2026-01-01,2026-12-31,2026-06-24,global data center,forecast,usable_with_caveat,SR-01,EV-01,MAP-04,公司预测；不等于实际全年结果
RI-02,EXEC-MEM-CYCLE-20260707-1,CER-01,JU-04,IR-SB-01,IR-OBS-01,Signal,INST-APP-CONS,Application,end_market_demand_strength,end_market_demand_strength,demand_orders,demand_forecast_change,2026 notebook shipment forecast revised to -14.8% YoY amid cost and demand pressure,percent,consumer notebook demand weakening,qualitative,,decrease,qualitative,single_observation,true,2026-01-01,2026-12-31,2026-03-30,global,forecast,usable_with_caveat,SR-11,EV-11,MAP-06,需求破坏反证
RI-03,EXEC-MEM-CYCLE-20260707-1,IR-E-01,,IR-SB-10,IR-OBS-10,Event,INST-C-MU,Company,order_visibility,order_visibility,demand_orders,order_shipment_change,16 strategic customer agreements; about 20% of DRAM volume and one-third of NAND volume over the agreement period; take-or-pay commitments,qualitative,multi-year committed order coverage,qualitative,,increase,qualitative,single_observation,false,2026-01-01,2030-12-31,2026-06-24,Micron across end markets,reported_fact,usable,SR-01,EV-14,MAP-04,公司特定订单，不外推全行业
RI-04,EXEC-MEM-CYCLE-20260707-1,IR-OBS-11,JU-07,IR-SB-11,IR-OBS-11,Observation,INST-C-MU,Company,inventory_cycle_position,inventory_cycle_position|inventory_buffer_capacity,inventory_cycle,,Ending inventory $8.6bn; 120 days; DRAM inventories very tight and below 120 days,days,supplier inventory tight; company total 120 days,days,,decrease,qualitative,single_observation,false,2026-05-28,2026-05-28,2026-06-24,Micron,data_point,usable_with_caveat,SR-01,EV-15,MAP-03,仅原厂层级，不能外推渠道/客户
RI-05,EXEC-MEM-CYCLE-20260707-1,IR-OBS-03,JU-01|JU-07,IR-SB-03,IR-OBS-03,Observation,INST-P-DRAM,Product,inventory_cycle_position,inventory_cycle_position|inventory_buffer_capacity,inventory_cycle,,DRAM supplier inventory levels remain extremely low in 2Q26,qualitative,supplier inventory very low,qualitative,,decrease,qualitative,single_observation,false,2026-04-01,2026-06-30,2026-06-01,global suppliers,estimate,usable,SR-07,EV-05,MAP-03,缺定量天数
RI-06,EXEC-MEM-CYCLE-20260707-1,IR-OBS-05,JU-01|JU-05,IR-SB-05,IR-OBS-05,Observation,INST-P-DRAM,Product,product_price_pressure,product_price_pressure,pricing_economics,price_lead_time_change,Conventional DRAM contract prices increased approximately 93%-98% QoQ in 1Q26,percent,95.5,percent,,increase,qualitative,single_observation,false,2026-01-01,2026-03-31,2026-06-01,global,data_point,usable,SR-07,EV-04,MAP-02,区间中点仅用于标准展示；保留原区间
RI-07,EXEC-MEM-CYCLE-20260707-1,IR-OBS-05,JU-05,IR-SB-05,IR-OBS-05,Observation,INST-P-DRAM,Product,product_price_pressure,product_price_pressure,pricing_economics,price_lead_time_change,Conventional DRAM contract prices expected +58%-63% QoQ in 2Q26,percent,60.5,percent,,increase,qualitative,single_observation,true,2026-04-01,2026-06-30,2026-03-31,global,forecast,usable_with_caveat,SR-06,EV-16,MAP-02,预测；涨幅低于1Q26
RI-08,EXEC-MEM-CYCLE-20260707-1,IR-OBS-05,JU-01|JU-05,IR-SB-05,IR-OBS-05,Observation,INST-P-DRAM,Product,product_price_pressure,product_price_pressure|pricing_power,pricing_economics,price_lead_time_change,Micron fiscal Q3 DRAM prices increased in the low-60s percentage range QoQ; bit shipments low-single-digit increase,percent,low-60s,percent,,increase,qualitative,single_observation,false,2026-02-28,2026-05-28,2026-06-24,Micron,data_point,usable,SR-01,EV-02,MAP-01,公司实现价格与产品组合共同影响
RI-09,EXEC-MEM-CYCLE-20260707-1,IR-OBS-05,JU-04|JU-05,IR-SB-05,IR-OBS-05,Observation,INST-P-NAND,Product,product_price_pressure,product_price_pressure|pricing_power,pricing_economics,price_lead_time_change,Micron fiscal Q3 NAND prices increased in the mid-80s percentage range QoQ; bit shipments mid-single-digit increase,percent,mid-80s,percent,,increase,qualitative,single_observation,false,2026-02-28,2026-05-28,2026-06-24,Micron,data_point,usable,SR-01,EV-02,MAP-01,公司实现价格与产品组合共同影响
RI-10,EXEC-MEM-CYCLE-20260707-1,CER-03,JU-05|JU-07,IR-SB-05,IR-OBS-05,Signal,INST-P-DRAM,Product,product_price_pressure,product_price_pressure|pricing_power,pricing_economics,price_lead_time_change,Micron expects a meaningful moderation in the rate of price increases in fiscal Q4,qualitative,price increase rate moderating,qualitative,,decrease,qualitative,single_observation,true,2026-05-29,2026-08-31,2026-06-24,Micron,forecast,usable_with_caveat,SR-01,EV-03,MAP-01,斜率放缓，不是绝对价格下降
