gap_id,execution_id,gap_type,requirement_id,linked_judgment_unit_ids,path_id,node_id,affected_target_type,affected_target_id,description,severity,impact_on_reasoning,evidence_grade_ceiling_after_gap,path_action,blocks_reasoning,attempted_source_ids,suggested_next_step,return_action,status,notes
GAP-01,EXEC-MEM-CYCLE-20260713-1,evidence,ER-04,JU-01|JU-04|JU-07,P-01|P-02,N-02|N-07,StateVariable,inventory_cycle_position,已补HBM/DRAM/NAND产品库存方向及Micron、Samsung公司库存，但缺SK hynix公司库存和完整的原厂—渠道—客户连续定量序列,high,限制全行业补库/累库强度；不阻断已覆盖产品和公司的方向性观察,Q0,none,false,SRC-01|SRC-06|SRC-07|SRC-17|SRC-18|SRC-19,接入授权库存数据库或定向取得SK hynix、渠道与客户库存天数,continue_in_stage,open,46/48门槛中SVC-030保持not_counted
GAP-02,EXEC-MEM-CYCLE-20260713-1,evidence,ER-02,JU-01|JU-02|JU-04|JU-07,P-01|P-02,N-02|N-06,StateVariable,order_visibility,三类产品和三家公司均已有订单、长协、客户协作或生产响应证据，但缺行业级取消率、重复下单和实际拉货序列,medium,可观察订单能见度，仍不能把MOU或客户请求等同锁量合同,Q2,none,false,SRC-01|SRC-05|SRC-14|SRC-16,补充取消条款、订单兑现率和实际交付序列,continue_in_stage,open,产品与公司锚点均counted；profile仍partial
GAP-03,EXEC-MEM-CYCLE-20260713-1,coverage,ER-03,JU-01|JU-02|JU-03,P-01,N-03,StateVariable,capacity_tightness,已补HBM、DRAM、NAND的直接供给约束和产能紧张证据，但缺同口径全行业有效产能、利用率和交期时间序列,medium,允许三类产品方向性比较，不允许量化紧张度差异,Q2,none,false,SRC-01|SRC-03|SRC-06|SRC-07|SRC-14|SRC-15,接入分产品有效产能、利用率、配额和交期数据库,continue_in_stage,open,三类产品锚点均counted
GAP-04,EXEC-MEM-CYCLE-20260713-1,evidence,ER-06,JU-06|JU-07,P-02,N-05|N-07,StateVariable,yield_maturity,已补HBM、DRAM、NAND量产或良率线索以及Tongluo、Singapore当前阶段证据；未来设施良率、认证和稳定量产尚未发生,high,可判断当前阶段和条件式窗口，不能确定未来有效供给日期与规模,Q0,none,false,SRC-01|SRC-02|SRC-12|SRC-13|SRC-14|SRC-15,在试产、客户认证和稳定量产节点刷新快照,continue_in_stage,open,未来事实未发生不从分母删除；以当前阶段直接证据counted
GAP-05,EXEC-MEM-CYCLE-20260713-1,other,ER-01|ER-02|ER-03|ER-05|ER-06,,P-01|P-02,N-01|N-02|N-03|N-04|N-05,SourceDocument,SRC-04,SK hynix 1Q26官方页面直连返回HTTP 403,medium,降低原文可复核性；不得依赖该源形成唯一关键结论,Q2,none,false,SRC-04,登记合规API/IR PDF或官方同步稿作为首选替代,continue_in_stage,mitigated,已用SRC-05及其他原厂/行业源交叉
GAP-06,EXEC-MEM-CYCLE-20260713-1,other,ER-01|ER-02|ER-03|ER-04|ER-05|ER-06,,P-01|P-02,N-01|N-02|N-03|N-04|N-05|N-06|N-07,SourceDocument,all,快照固定结构没有原始材料目录，本次未保存网页原文和内容哈希,medium,长期审计时网页变更可能导致证据无法完全重现,Q2,none,false,SRC-01|SRC-02|SRC-03|SRC-04|SRC-05|SRC-06|SRC-07|SRC-08|SRC-09|SRC-10|SRC-11|SRC-12,增加合规原始材料归档和SHA-256字段填充流程,continue_in_stage,open,URL、抓取时间和主张已保留
GAP-07,EXEC-MEM-CYCLE-20260713-1,other,ER-01|ER-02|ER-03|ER-04|ER-05|ER-06,,P-01|P-02,N-01|N-02|N-03|N-04|N-05|N-06|N-07,Process,source_recipe_registry,仓库未提供稳定的来源清单与取数口径说明,high,每次运行需要重新解释来源与查询口径，可重复性依赖执行者,Q0,none,false,SRC-01|SRC-02|SRC-03|SRC-04|SRC-05|SRC-06|SRC-07|SRC-08|SRC-09|SRC-10|SRC-11|SRC-12,在数据与证据准备文档中固化版本化来源清单、查询参数、替代源和停止条件,continue_in_stage,open,本次使用ad-hoc-public-web-20260713-v1
GAP-08,EXEC-MEM-CYCLE-20260713-1,evidence,ER-01,JU-02|JU-04,P-01|P-02,N-01|N-06,StateVariable,end_market_demand_strength,已补HBM、DRAM、NAND和服务器应用需求证据，但通用产品仍部分依赖供应商或行业展望而非全行业实际bit消耗,medium,可比较产品需求方向，不能精确量化净bit demand,Q2,none,false,SRC-01|SRC-03|SRC-05|SRC-10|SRC-11|SRC-14,补充实际bit出货、部署和终端消耗并与预测分列,continue_in_stage,open,全部需求锚点counted；profile仍partial
GAP-09,EXEC-MEM-CYCLE-20260713-1,evidence,ER-04,JU-07,P-01,N-02|N-03|N-04,StateVariable,inventory_buffer_capacity,已补三类产品及Micron、Samsung的库存缓冲代理；缺SK hynix直接库存/缓冲证据及全体锚点的可用库存、在途、安全库存和缓冲时长,high,除SK hynix外可受限观察缓冲方向，不得形成精确持续时间,Q0,none,false,SRC-01|SRC-06|SRC-07|SRC-14|SRC-17|SRC-19,补充SK hynix库存与分产品覆盖期、规格可用性和客户层库存,continue_in_stage,open,SVC-036保持not_counted，其余缓冲锚点counted
GAP-10,EXEC-MEM-CYCLE-20260713-1,evidence,ER-03,JU-03,P-01|P-02,N-03|N-05|N-07,StateVariable,supply_availability,HBM、DRAM、NAND和制造环节均有直接供给可得性证据，但缺同口径交期、配额和替代供应数据,medium,允许局部供给方向判断，不允许量化跨产品可得性差异,Q2,none,false,SRC-01|SRC-03|SRC-06|SRC-07|SRC-14|SRC-15,补充分产品交期、配额、替代供应和恢复时间,continue_in_stage,open,全部供给可得性锚点counted
