source_document_id,source_id,title,source_type,location,access_scope,source_reliability,publisher,published_at,publisher_instance_ref,status,created_at,notes
SRC-BIS-2022,SRC-BIS-2022,BIS 2022对华先进计算与设备规则,policy,https://www.bis.gov/node/20292,public,high,BIS,2022-10-07,,active,2026-07-10T18:41:00+08:00,初始控制
SRC-BIS-2023,SRC-BIS-2023,BIS 2023设备控制更新,policy,https://www.bis.gov/press-release/commerce-strengthens-restrictions-advanced-computing-semiconductors-semiconductor-manufacturing-equipment,public,high,BIS,2023-10-17,,active,2026-07-10T18:41:00+08:00,规则更新
SRC-BIS-2024,SRC-BIS-2024,BIS 2024先进半导体制造控制升级,policy,https://www.bis.gov/press-release/commerce-strengthens-export-controls-restrict-chinas-capability-produce-advanced-semiconductors-military,public,high,BIS,2024-12-02,,active,2026-07-10T18:41:00+08:00,规则升级
SRC-BIS-VEU,SRC-BIS-VEU,BIS撤销中国外资晶圆厂VEU,policy,https://www.bis.gov/press-release/department-commerce-closes-export-controls-loophole-foreign-owned-semiconductor-fabs-china,public,high,BIS,2025-08-29,,active,2026-07-10T18:43:00+08:00,许可管理变化
SRC-BIS-AFFIL,SRC-BIS-AFFIL,附属实体规则暂停与恢复安排,policy,https://public-inspection.federalregister.gov/2025-19846.pdf,public,high,Federal Register,2025-11-12,,active,2026-07-10T18:43:00+08:00,未来生效状态
SRC-BIS-PENALTY,SRC-BIS-PENALTY,BIS应用材料违规出口处罚,policy,https://media.bis.gov/press-release/applied-materials-pay-252-million-penalty-bis-illegally-exporting-semiconductor-manufacturing-equipment,public,high,BIS,2026-02-12,,active,2026-07-10T18:43:00+08:00,执法案例
SRC-KLA-2025,SRC-KLA-2025,KLA 2025财年年报,filing,https://www.sec.gov/Archives/edgar/data/319201/000031920125000024/klac-20250630.htm,public,high,KLA,2025-08-08,,active,2026-07-10T18:46:00+08:00,海外供给反面证据
SRC-AXCELIS-2025,SRC-AXCELIS-2025,Axcelis 2025年年报,filing,https://www.sec.gov/Archives/edgar/data/1113232/000110465926020461/acls-20251231x10k.htm,public,high,Axcelis,2026-02-20,,active,2026-07-10T18:46:00+08:00,海外供给反面证据
SRC-ASML-2025,SRC-ASML-2025,ASML 2025年度报告,filing,https://www.asml.com/en/investors/annual-report/2025/financials,public,high,ASML,2026-02-25,,active,2026-07-10T18:46:00+08:00,海外供给反面证据
SRC-SEMI-BILLINGS,SRC-SEMI-BILLINGS,SEMI 2025设备销售实际统计,report,https://www.semi.org/en/SEMI-Reports-Global-Semiconductor-Equipment-Billings-Reached-135-Billion-in-2025,public,high,SEMI,2026-04-07,,active,2026-07-10T18:49:00+08:00,需求实际数据
SRC-SEMI-FORECAST,SRC-SEMI-FORECAST,SEMI 2025年末设备预测,report,https://www.semi.org/en/semi-press-release/global-semiconductor-equipment-sales-projected-to-reach-a-record-of-156-billion-dollars-in-2027-semi-reports,public,high,SEMI,2025-12-16,,active,2026-07-10T18:49:00+08:00,需求预测
SRC-HUAHONG-2025,SRC-HUAHONG-2025,华虹半导体2025年年报,filing,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0326/2026032602730.pdf,public,high,华虹半导体,2026-03-26,,active,2026-07-10T18:51:00+08:00,晶圆厂样本
SRC-SSE-2024,SRC-SSE-2024,上交所2024设备公司汇总,filing,https://www.sse.com.cn/aboutus/mediacenter/hotandd/c/c_20250430_10778299.shtml,public,high,上交所,2025-04-30,,active,2026-07-10T18:53:00+08:00,设备公司汇总
SRC-NAURA-2025,SRC-NAURA-2025,北方华创2025年报,filing,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122918.PDF,public,high,北方华创,2026-04-18,INS-NAURA,active,2026-07-10T18:53:00+08:00,公司样本
SRC-AMEC-H1,SRC-AMEC-H1,中微公司2025半年报,filing,https://static.cninfo.com.cn/finalpage/2025-08-29/1224606011.PDF,public,high,中微公司,2025-08-29,INS-AMEC,active,2026-07-10T18:55:00+08:00,公司样本
SRC-PIOTECH-2025,SRC-PIOTECH-2025,拓荆科技2025年报,filing,https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260427/7dbd17dd6d8d4e128760e3ba48ee2da8.PDF,public,high,拓荆科技,2026-04-27,INS-PIOTECH,active,2026-07-10T18:55:00+08:00,公司样本
SRC-ACMR-2025,SRC-ACMR-2025,ACM Research 2025年报,filing,https://www.sec.gov/Archives/edgar/data/1680062/000162828026013231/acmr-20251231.htm,public,high,ACM Research,2026-02-26,INS-ACM,active,2026-07-10T18:57:00+08:00,公司样本
SRC-HWATSING-2025,SRC-HWATSING-2025,华海清科2025年报,filing,https://static.cninfo.com.cn/finalpage/2026-04-23/1225156951.PDF,public,high,华海清科,2026-04-23,INS-HWATSING,active,2026-07-10T18:57:00+08:00,公司样本
SRC-KINGSEMI-2025,SRC-KINGSEMI-2025,芯源微2025年报,filing,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-18/688037_20260418_V5LA.pdf,public,high,芯源微,2026-04-18,INS-KINGSEMI,active,2026-07-10T18:59:00+08:00,公司样本
SRC-SSE-2025,SRC-SSE-2025,上交所2025集成电路企业汇总,filing,https://www.sse.com.cn/cpc/cpctheme/4th20thcpc/4th20thcpcgcxx/c/c_20260413_10815020.shtml,public,high,上交所,2026-03-23,,active,2026-07-10T18:59:00+08:00,设备公司汇总
