source_run_id,execution_id,source_id,source_name,source_profile_id,source_group_id,independence_group_id,source_type,source_tier,source_status_at_run,acquisition_channel_id,recipe_id,content_domain_tags,access_mode,access_permission_status,usage_restriction,requested_at,retrieved_at,publication_time,business_time_start,business_time_end,source_locator,raw_artifact_ref,content_hash,retrieval_status,quality_status,directness,traceability,independence,time_relevance,scope_match,license_scope,notes
SR-001,EXEC-USCTRL-CNSEMI-EQP-20260715-1,SRC-BIS-2022,BIS 2022年10月7日对华先进计算与半导体制造物项规则,SP-US-GOV,US-CONTROL,BIS-2022,official_page,S1,active,AC-OFFICIAL-WEB,R-POLICY,export_control|SME|effective_date,public_web,public,只用于规则事实和生效范围,2026-07-15T18:40:00+08:00,2026-07-15T18:41:00+08:00,2022-10-07,2022-10-07,2026-07-15,https://www.bis.gov/node/20292,02_assets/source_captures/SR-001.json,sha256:22f5bafe0e455dc20186a83c51e4b36aa6b8b81f9f77c56517082e79df876c1e,retrieved,high,direct,full,independent,high,high,public_link_only,设备限制与美国人员限制分阶段生效
SR-002,EXEC-USCTRL-CNSEMI-EQP-20260715-1,SRC-BIS-2023,BIS 2023年10月17日半导体制造设备控制更新,SP-US-GOV,US-CONTROL,BIS-2023,official_page,S1,active,AC-OFFICIAL-WEB,R-POLICY,export_control|SME|circumvention,public_web,public,只用于规则更新事实,2026-07-15T18:40:00+08:00,2026-07-15T18:41:00+08:00,2023-10-17,2023-10-17,2026-07-15,https://www.bis.gov/press-release/commerce-strengthens-restrictions-advanced-computing-semiconductors-semiconductor-manufacturing-equipment,02_assets/source_captures/SR-002.json,sha256:11cf1cd498ea2c33c78e1d81aebed923cc0bf9b182453b0367fc94073592ff4c,retrieved,high,direct,full,independent,high,high,public_link_only,增加设备类型并收紧规避路径
SR-003,EXEC-USCTRL-CNSEMI-EQP-20260715-1,SRC-BIS-2024,BIS 2024年12月2日先进半导体制造控制升级,SP-US-GOV,US-CONTROL,BIS-2024,official_page,S1,active,AC-OFFICIAL-WEB,R-POLICY,export_control|24_equipment_types|140_entities,public_web,public,只用于正式规则包概要,2026-07-15T18:40:00+08:00,2026-07-15T18:41:00+08:00,2024-12-02,2024-12-02,2026-07-15,https://www.bis.gov/press-release/commerce-strengthens-export-controls-restrict-chinas-capability-produce-advanced-semiconductors-military,02_assets/source_captures/SR-003.json,sha256:291296da3f92045528fad471254b80b4c45fc4cfc060a5eddb7f428827ab7047,retrieved,high,direct,full,independent,high,high,public_link_only,覆盖刻蚀沉积光刻离子注入退火量测检测清洗等
SR-004,EXEC-USCTRL-CNSEMI-EQP-20260715-1,SRC-BIS-VEU,BIS撤销中国外资晶圆厂VEU授权,SP-US-GOV,US-CONTROL,BIS-VEU,official_page,S1,active,AC-OFFICIAL-WEB,R-POLICY,VEU|license|foreign_owned_fabs,public_web,public,既有运营许可意向不等于扩产许可,2026-07-15T18:42:00+08:00,2026-07-15T18:43:00+08:00,2025-08-29,2025-12-31,2026-07-15,https://www.bis.gov/press-release/department-commerce-closes-export-controls-loophole-foreign-owned-semiconductor-fabs-china,02_assets/source_captures/SR-004.json,sha256:d0fa455b1c8e91e8d51f8def7b5a99f555b3b44529b0f1f0d1d954fb76fcf205,retrieved,high,direct,full,independent,high,high,public_link_only,2025-12-31生效且不拟许可扩产升级
SR-005,EXEC-USCTRL-CNSEMI-EQP-20260715-1,SRC-BIS-AFFIL,附属实体规则一年暂停与2026年11月再生效安排,SP-US-GOV,US-CONTROL,BIS-AFFIL,official_rule,S1,active,AC-REGULATION-CURRENT,R-POLICY,affiliate_rule|suspension|future_effective_date,public_web,public,2026-11-10前不得写成当前已生效,2026-07-15T18:42:00+08:00,2026-07-15T18:43:00+08:00,2025-11-12,2025-11-10,2027-07-15,https://public-inspection.federalregister.gov/2025-19846.pdf,02_assets/source_captures/SR-005.json,sha256:dd85adcbae48338e91f4b9a7347fbb2d3a77c08cf1ea288d83bd186e7e937a4b,retrieved,high,direct,full,independent,high,high,public_link_only,未来十二个月关键改判闸门
SR-006,EXEC-USCTRL-CNSEMI-EQP-20260715-1,SRC-BIS-PENALTY,BIS对应用材料相关违规出口处罚,SP-US-GOV,US-ENFORCEMENT,BIS-ENFORCEMENT,official_page,S1,active,AC-OFFICIAL-WEB,R-POLICY,enforcement|semiconductor_equipment|penalty,public_web,public,只用于证明执法强度不用于推断全部交易,2026-07-15T18:42:00+08:00,2026-07-15T18:43:00+08:00,2026-02-12,2021-01-01,2026-02-12,https://media.bis.gov/press-release/applied-materials-pay-252-million-penalty-bis-illegally-exporting-semiconductor-manufacturing-equipment,02_assets/source_captures/SR-006.json,sha256:23b8f97088dfe759820119ba292771307eb5174b778aae511376d5e010725d34,retrieved,high,direct,full,independent,high,high,public_link_only,处罚约2.52亿美元
SR-007,EXEC-USCTRL-CNSEMI-EQP-20260715-1,SRC-KLA-2025,KLA 2025财年年报,SP-COMPANY-FILING,FOREIGN-VENDOR,KLA,annual_report,S2,active,AC-FILING-WEB,R-SUPPLY-DEMAND,china_revenue|export_control|process_control,public_web,public,单一公司且量测检测权重较高,2026-07-15T18:45:00+08:00,2026-07-15T18:46:00+08:00,2025-08-08,2023-07-01,2025-06-30,https://www.sec.gov/Archives/edgar/data/319201/000031920125000024/klac-20250630.htm,02_assets/source_captures/SR-007.json,sha256:21802907d5ce08de0426680e6ef0738b8c3987d7a0138cb6570e3cd4c72248fb,retrieved,high,direct,full,independent,high,medium,public_link_only,中国收入占比2023至2025为27% 43% 33%
SR-008,EXEC-USCTRL-CNSEMI-EQP-20260715-1,SRC-AXCELIS-2025,Axcelis 2025年年报,SP-COMPANY-FILING,FOREIGN-VENDOR,AXCELIS,annual_report,S2,active,AC-FILING-WEB,R-SUPPLY-DEMAND,ion_implant|china_customers|license,public_web,public,只代表离子注入设备和该公司客户结构,2026-07-15T18:45:00+08:00,2026-07-15T18:46:00+08:00,2026-02-20,2025-01-01,2025-12-31,https://www.sec.gov/Archives/edgar/data/1113232/000110465926020461/acls-20251231x10k.htm,02_assets/source_captures/SR-008.json,sha256:5e250b7c8af410c7693719d08c358c43617470e4a6d9162da5a8a612eab05620,retrieved,high,direct,full,independent,high,medium,public_link_only,公司称仍可向绝大多数中国客户发货
SR-009,EXEC-USCTRL-CNSEMI-EQP-20260715-1,SRC-ASML-2025,ASML 2025年年度报告,SP-COMPANY-FILING,FOREIGN-VENDOR,ASML,annual_report,S2,active,AC-FILING-WEB,R-SUPPLY-DEMAND,DUV|china_sales|export_control,public_web,public,DUV强于预期不代表先进光刻不受限,2026-07-15T18:45:00+08:00,2026-07-15T18:46:00+08:00,2026-02-25,2025-01-01,2025-12-31,https://www.asml.com/en/investors/annual-report/2025/financials,02_assets/source_captures/SR-009.json,sha256:3895b861cc2d5618edcc065d787b9fd64f32e8eefc1b3eee24ae4b6de6fa3ba8,retrieved,high,direct,full,independent,high,medium,public_link_only,中国DUV业务强于预期
SR-010,EXEC-USCTRL-CNSEMI-EQP-20260715-1,SRC-SEMI-BILLINGS,SEMI 2025年全球设备销售实际统计,SP-INDUSTRY-ASSOC,INDUSTRY-DATA,SEMI-BILLINGS,industry_release,S2,active,AC-OFFICIAL-WEB,R-SUPPLY-DEMAND,equipment_billings|china_spending|2025_actual,public_web,public,设备销售不等于fab资本开支或国产采购,2026-07-15T18:48:00+08:00,2026-07-15T18:49:00+08:00,2026-04-07,2024-01-01,2025-12-31,https://www.semi.org/en/SEMI-Reports-Global-Semiconductor-Equipment-Billings-Reached-135-Billion-in-2025,02_assets/source_captures/SR-010.json,sha256:87cd23eadc11edeca3d62a2a8e0831e157d807559c2a3164baa3d16e8114071e,retrieved,high,direct,full,independent,high,high,public_link_only,中国2025支出493亿美元同比下降0.5%
