source_run_id,execution_id,source_id,source_name,source_profile_id,source_group_id,independence_group_id,source_type,source_tier,source_status_at_run,acquisition_channel_id,recipe_id,content_domain_tags,access_mode,access_permission_status,usage_restriction,requested_at,retrieved_at,publication_time,business_time_start,business_time_end,source_locator,raw_artifact_ref,content_hash,retrieval_status,quality_status,directness,traceability,independence,time_relevance,scope_match,license_scope,notes
SR-01,EXEC-MEM-CYCLE-20260715-1,SRC-01,Micron FY2026 Q3 Earnings Call Prepared Remarks,SP-COMPANY-DISCLOSURE,SRC-01,SRC-01,company_results,S2,active,AC-PUBLIC-WEB,R-MEM-PRICE/v0.1,R-MEM-PRICE/v0.1,public_web,public_access,PDF可直接定位页码和行；公司展望标记为forward-looking,2026-07-15T14:36:00+08:00,2026-07-15T14:36:05+08:00,2026-06-24T00:00:00-06:00,2026-02-28,2026-05-28,https://investors.micron.com/static-files/631b1a32-5537-46ae-8f40-82e42fc79dfe,02_assets/source_captures/SR-01.json,sha256:4846b5dc4ec27789755aa143c633ec688b420196f4c1e7cb7bd4b46acb698879,success,high,direct,fully_traceable,same_origin,current,matched,public_research_use,PDF可直接定位页码和行；公司展望标记为forward-looking
SR-02,EXEC-MEM-CYCLE-20260715-1,SRC-02,Micron Form 10-Q filed 2026-06-25,SP-COMPANY-DISCLOSURE,SRC-02,SRC-02,company_filing,S2,active,AC-PUBLIC-WEB,R-MEM-CAPEX/v0.1,R-MEM-CAPEX/v0.1,public_web,public_access,监管文件；设施时间表可定位,2026-07-15T14:36:00+08:00,2026-07-15T14:36:06+08:00,2026-06-25T00:00:00-06:00,2026-02-28,2026-05-28,https://investors.micron.com/static-files/23023765-dfef-4e7e-845b-cd744fc20d93,02_assets/source_captures/SR-02.json,sha256:350f8dce93594c0e4d92530c9e16de357864822e0825a7e09788250751d2f2cc,success,high,direct,fully_traceable,same_origin,current,matched,public_research_use,监管文件；设施时间表可定位
SR-03,EXEC-MEM-CYCLE-20260715-1,SRC-03,Samsung Electronics First Quarter 2026 Results,SP-COMPANY-DISCLOSURE,SRC-03,SRC-03,company_results,S2,active,AC-PUBLIC-WEB,R-MEM-DEMAND/v0.1,R-MEM-DEMAND/v0.1,public_web,public_access,公司业绩新闻稿；需求展望标记为预测,2026-07-15T14:31:00+08:00,2026-07-15T14:31:05+08:00,2026-04-30T00:00:00+09:00,2026-01-01,2026-03-31,https://news.samsungsemiconductor.com/global/samsung-electronics-announces-first-quarter-2026-results/,02_assets/source_captures/SR-03.json,sha256:cf22eb23d5768ffa6131f43eb2c3aa398a677d76f7a930a789ce1f5779aae396,success,high,direct,fully_traceable,same_origin,current,matched,public_research_use,公司业绩新闻稿；需求展望标记为预测
SR-04,EXEC-MEM-CYCLE-20260715-1,SRC-04,SK hynix 1Q26 Financial Results,SP-COMPANY-DISCLOSURE,SRC-04,SRC-04,company_results,S2,active,AC-PUBLIC-WEB,R-MEM-DEMAND/v0.1,R-MEM-DEMAND/v0.1,public_web,public_access,搜索索引可定位但直连403；只采用可核验摘要并以其他来源交叉,2026-07-15T14:42:00+08:00,2026-07-15T14:42:04+08:00,2026-04-22T00:00:00+09:00,2026-01-01,2026-03-31,https://news.skhynix.com/q1-2026-business-results/,02_assets/source_captures/SR-04.json,sha256:cb32cb1ab6a72744a483e37dc16d1cce1c5d9d3d92644f1b2331221c81fd6dd3,partial,medium,direct,fully_traceable,same_origin,current,matched,public_research_use,搜索索引可定位但直连403；只采用可核验摘要并以其他来源交叉
SR-05,EXEC-MEM-CYCLE-20260715-1,SRC-05,SK hynix FY2025 Financial Results,SP-COMPANY-DISCLOSURE,SRC-05,SRC-05,company_results,S2,active,AC-PUBLIC-WEB,R-MEM-DEMAND/v0.1,R-MEM-DEMAND/v0.1,public_web,public_access,官方页面；用于HBM/服务器DRAM/NAND需求与产能计划,2026-07-15T14:48:00+08:00,2026-07-15T14:48:04+08:00,2026-01-28T00:00:00+09:00,2025-01-01,2025-12-31,https://news.skhynix.com/sk-hynix-announces-fy25-financial-results/,02_assets/source_captures/SR-05.json,sha256:62888782832a763fce27960e4ae9bf6d5782225233c1821e9f7a0fb1508923e1,success,high,direct,fully_traceable,same_origin,current,matched,public_research_use,官方页面；用于HBM/服务器DRAM/NAND需求与产能计划
SR-06,EXEC-MEM-CYCLE-20260715-1,SRC-06,TrendForce 2Q26 DRAM and NAND Contract Price Outlook,SP-PUBLIC-WEB,SRC-06,SRC-06,industry_price_survey,S3,active,AC-PUBLIC-WEB,R-MEM-PRICE/v0.1,R-MEM-PRICE/v0.1,public_web,public_access,行业调查；价格为预测，产能配置为调查判断,2026-07-15T14:39:00+08:00,2026-07-15T14:39:05+08:00,2026-03-31T00:00:00+08:00,2026-04-01,2026-06-30,https://www.trendforce.com/presscenter/news/20260331-12995.html,02_assets/source_captures/SR-06.json,sha256:fd7270f72593dae21750ee6f008aefb8afa53e5749f8caea385c9e1af37d95d6,success,medium,indirect,fully_traceable,independent,current,matched,public_research_use,行业调查；价格为预测，产能配置为调查判断
SR-07,EXEC-MEM-CYCLE-20260715-1,SRC-07,TrendForce 1Q26 DRAM Industry Results,SP-PUBLIC-WEB,SRC-07,SRC-07,industry_price_survey,S3,active,AC-PUBLIC-WEB,R-MEM-PRICE/v0.1,R-MEM-PRICE/v0.1,public_web,public_access,行业调查；含实际季度合约价与供应商库存方向,2026-07-15T14:39:00+08:00,2026-07-15T14:39:06+08:00,2026-06-01T00:00:00+08:00,2026-01-01,2026-03-31,https://www.trendforce.com/presscenter/news/20260601-13070.html,02_assets/source_captures/SR-07.json,sha256:e812f4794be043e63e7941abb4661d7841241550abf46cc6d52442c60e7a8d0f,success,medium,indirect,fully_traceable,independent,current,matched,public_research_use,行业调查；含实际季度合约价与供应商库存方向
SR-08,EXEC-MEM-CYCLE-20260715-1,SRC-08,TrendForce HBM 2027 Supply and Pricing Outlook,SP-PUBLIC-WEB,SRC-08,SRC-08,industry_research,S3,active,AC-PUBLIC-WEB,R-MEM-SUPPLY/v0.1,R-MEM-SUPPLY/v0.1,public_web,public_access,行业研究预测；HBM年度合同和晶圆占用数据,2026-07-15T14:51:00+08:00,2026-07-15T14:51:05+08:00,2026-06-02T00:00:00+08:00,2026-01-01,2027-12-31,https://www.trendforce.com/presscenter/news/20260602-13074.html,02_assets/source_captures/SR-08.json,sha256:19221abf9dae547a92d7956c9a822ed1cec0d645d32b8c4fc967d7c4372b19ca,success,medium,indirect,fully_traceable,independent,current,matched,public_research_use,行业研究预测；HBM年度合同和晶圆占用数据
SR-09,EXEC-MEM-CYCLE-20260715-1,SRC-09,TrendForce Agentic AI Memory Market Outlook,SP-PUBLIC-WEB,SRC-09,SRC-09,industry_research,S3,active,AC-PUBLIC-WEB,R-MEM-DEMAND/v0.1,R-MEM-DEMAND/v0.1,public_web,public_access,行业预测；用于AI推理需求与2027持续性,2026-07-15T14:39:00+08:00,2026-07-15T14:39:07+08:00,2026-05-29T00:00:00+08:00,2026-01-01,2027-12-31,https://www.trendforce.com/presscenter/news/20260529-13068.html,02_assets/source_captures/SR-09.json,sha256:b0f601c2299fc04fdb4e6f9235216e5ded7e02640a840b334e1010697754ef0c,success,medium,indirect,fully_traceable,independent,current,matched,public_research_use,行业预测；用于AI推理需求与2027持续性
SR-10,EXEC-MEM-CYCLE-20260715-1,SRC-10,WSTS Spring 2026 Semiconductor Market Forecast,SP-PUBLIC-WEB,SRC-10,SRC-10,industry_statistics,S3,active,AC-PUBLIC-WEB,R-MEM-DEMAND/v0.1,R-MEM-DEMAND/v0.1,public_web,public_access,行业协会预测；收入而非bit供需,2026-07-15T14:39:00+08:00,2026-07-15T14:39:08+08:00,2026-06-24T00:00:00+00:00,2026-01-01,2027-12-31,https://www.wsts.org/esraCMS/extension/esrapdf/generate/105,02_assets/source_captures/SR-10.json,sha256:59ba80b944052bdc2f31ea0147607efcb3ab9da7141f67139dc880ff37efd8ff,success,high,indirect,fully_traceable,independent,current,matched,public_research_use,行业协会预测；收入而非bit供需
SR-11,EXEC-MEM-CYCLE-20260715-1,SRC-11,TrendForce 2026 Notebook Shipment Revision,SP-PUBLIC-WEB,SRC-11,SRC-11,industry_research,S3,active,AC-PUBLIC-WEB,R-MEM-DEMAND/v0.1,R-MEM-DEMAND/v0.1,public_web,public_access,需求破坏反证；预测口径,2026-07-15T14:51:00+08:00,2026-07-15T14:51:06+08:00,2026-03-30T00:00:00+08:00,2026-01-01,2026-12-31,https://www.trendforce.com/presscenter/news/20260330-12992.html,02_assets/source_captures/SR-11.json,sha256:31c4e9ab571e6faac37ab0da18a9a3f347fb02b1d2ab34c8d42537f4be85165e,success,medium,indirect,fully_traceable,independent,current,matched,public_research_use,需求破坏反证；预测口径
SR-12,EXEC-MEM-CYCLE-20260715-1,SRC-12,SK hynix Ships 12-layer HBM4E Samples,SP-PUBLIC-WEB,SRC-12,SRC-12,company_release,S2,active,AC-PUBLIC-WEB,R-MEM-CAPEX/v0.1,R-MEM-CAPEX/v0.1,public_web,public_access,样品出货事实；不得等同量产,2026-07-15T14:51:00+08:00,2026-07-15T14:51:07+08:00,2026-06-18T00:00:00+09:00,2026-06-18,2026-06-18,https://news.skhynix.com/12-layer-hbm4e-sample/,02_assets/source_captures/SR-12.json,sha256:b8bb9cdfdaabdb47d648a6560a6701eda58541c05e5373e9c057e1ec0be996ce,success,high,direct,fully_traceable,same_origin,current,matched,public_research_use,样品出货事实；不得等同量产
SR-13,EXEC-MEM-CYCLE-20260715-1,SRC-13,Micron FY2026 Q1 Earnings Call Prepared Remarks,SP-COMPANY-DISCLOSURE,SRC-13,SRC-13,company_results,S2,active,AC-PUBLIC-WEB,R-MEM-YIELD/v0.2,R-MEM-YIELD/v0.2,public_web,public_access,PDF可定位；用于DRAM/NAND节点良率、客户认证与供需交叉,2026-07-15T21:01:00+08:00,2026-07-15T21:01:04+08:00,2025-12-17T00:00:00-07:00,2025-09-01,2025-11-27,https://investors.micron.com/static-files/088991c5-a249-4f66-a0a6-258d9b66f3f9,02_assets/source_captures/SR-13.json,sha256:20b748ca3991601b80688b14a7d053c7ed8d82ad3819bb608d9ed06830f9f445,success,high,direct,fully_traceable,same_origin,current,matched,public_research_use,PDF可定位；用于DRAM/NAND节点良率、客户认证与供需交叉
SR-14,EXEC-MEM-CYCLE-20260715-1,SRC-14,Micron FY2026 Q2 Earnings Call Prepared Remarks,SP-COMPANY-DISCLOSURE,SRC-14,SRC-14,company_results,S2,active,AC-PUBLIC-WEB,R-MEM-SUPPLY/v0.2,R-MEM-SUPPLY/v0.2,public_web,public_access,PDF可定位；覆盖服务器需求、产品供给、良率、库存和设施阶段,2026-07-15T21:01:00+08:00,2026-07-15T21:01:05+08:00,2026-03-18T00:00:00-06:00,2025-11-28,2026-02-26,https://investors.micron.com/static-files/e089f8c0-065d-47b8-9d02-bfa863cdb357,02_assets/source_captures/SR-14.json,sha256:71d79d7465b375114b5cf094cd4d73247533c24f74d1c5a921543200c0850cca,success,high,direct,fully_traceable,same_origin,current,matched,public_research_use,PDF可定位；覆盖服务器需求、产品供给、良率、库存和设施阶段
SR-15,EXEC-MEM-CYCLE-20260715-1,SRC-15,Samsung Ships Commercial HBM4,SP-PUBLIC-WEB,SRC-15,SRC-15,company_release,S2,active,AC-PUBLIC-WEB,R-MEM-YIELD/v0.2,R-MEM-YIELD/v0.2,public_web,public_access,公司量产公告；明确商业出货和稳定良率，但不提供跨批次数值,2026-07-15T21:02:00+08:00,2026-07-15T21:02:03+08:00,2026-02-12T00:00:00+09:00,2026-02-12,2026-02-12,https://news.samsung.com/global/samsung-ships-industry-first-commercial-hbm4-with-ultimate-performance-for-ai-computing,02_assets/source_captures/SR-15.json,sha256:f57c96683044ea640496f661168357454ac344c7dc2b3ae630052670237eb82c,success,high,direct,fully_traceable,same_origin,current,matched,public_research_use,公司量产公告；明确商业出货和稳定良率，但不提供跨批次数值
SR-16,EXEC-MEM-CYCLE-20260715-1,SRC-16,Samsung and AMD HBM4 and DDR5 Collaboration,SP-PUBLIC-WEB,SRC-16,SRC-16,company_release,S2,active,AC-PUBLIC-WEB,R-MEM-ORDERS/v0.2,R-MEM-ORDERS/v0.2,public_web,public_access,双方MOU；可作订单能见度代理，不等同约束性采购合同,2026-07-15T21:02:00+08:00,2026-07-15T21:02:04+08:00,2026-03-18T00:00:00+09:00,2026-03-18,2026-03-18,https://news.samsung.com/global/samsung-and-amd-expand-strategic-collaboration-on-next-generation-ai-memory-solutions,02_assets/source_captures/SR-16.json,sha256:10ea0e51630abada9019f713f04a2bd5b6dc813107ea495516ed75e8ccc33958,success,high,direct,fully_traceable,same_origin,current,matched,public_research_use,双方MOU；可作订单能见度代理，不等同约束性采购合同
SR-17,EXEC-MEM-CYCLE-20260715-1,SRC-17,Samsung Electronics 1Q26 Interim Business Report,SP-COMPANY-DISCLOSURE,SRC-17,SRC-17,company_filing,S2,active,AC-PUBLIC-WEB,R-MEM-INVENTORY/v0.2,R-MEM-INVENTORY/v0.2,public_web,public_access,监管披露；DS库存可定位，但DS含非存储半导体，作为公司库存代理,2026-07-15T21:03:00+08:00,2026-07-15T21:03:08+08:00,2026-05-29T00:00:00+09:00,2025-12-31,2026-03-31,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/2026_1Q_Interim_Report.pdf,02_assets/source_captures/SR-17.json,sha256:17249cc8f129ceb07df193a9638ed642224fe27e23fb5bf0c23ea2dfae9f791c,success,high,direct,fully_traceable,same_origin,current,matched,public_research_use,监管披露；DS库存可定位，但DS含非存储半导体，作为公司库存代理
SR-18,EXEC-MEM-CYCLE-20260715-1,SRC-18,TrendForce 3Q26 Server DRAM Price and Inventory Outlook,SP-PUBLIC-WEB,SRC-18,SRC-18,industry_price_survey,S3,active,AC-PUBLIC-WEB,R-MEM-INVENTORY/v0.2,R-MEM-INVENTORY/v0.2|R-MEM-PRICE/v0.1,public_web,public_access,行业调查；库存方向受CPU短缺与备货行为影响，不能直接解释为需求转弱,2026-07-15T16:20:00+08:00,2026-07-15T16:20:05+08:00,2026-07-09T00:00:00+08:00,2026-04-01,2026-09-30,https://www.trendforce.com/presscenter/news/20260709-13140.html,02_assets/source_captures/SR-18.json,sha256:0fcbbb3a8838928164af1ccddf6f84a6e78e5fe88bd4970a12dee4216251352d,success,medium,indirect,fully_traceable,independent,current,matched,public_research_use,最新行业调查；3Q26价格仍涨但斜率放缓，2Q26部分CSP库存开始累积
SR-19,EXEC-MEM-CYCLE-20260715-1,SRC-19,TrendForce HBM4 Validation and Supply Landscape,SP-PUBLIC-WEB,SRC-19,SRC-19,industry_research,S3,active,AC-PUBLIC-WEB,R-MEM-HBM/v0.2,R-MEM-HBM/v0.2,public_web,public_access,行业研究；用于HBM多供验证、单一供应商不足和库存缓冲代理,2026-07-15T21:05:00+08:00,2026-07-15T21:05:04+08:00,2026-02-13T00:00:00+08:00,2026-01-01,2026-06-30,https://www.trendforce.com/presscenter/news/20260213-12929.html,02_assets/source_captures/SR-19.json,sha256:43a9d654e764001f66e6e27b03afa7e7e6791531e765b3259a5dba539bd80a60,success,medium,indirect,fully_traceable,independent,current,matched,public_research_use,行业研究；用于HBM多供验证、单一供应商不足和库存缓冲代理
