evidence_basket_id,execution_id,basket_type,target_judgment_unit_id,target_requirement_ids,basket_role,required_evidence_categories,required_claim_types,required_source_profile_ids,minimum_source_tier,minimum_independent_source_count,required_time_coverage,required_object_coverage,required_content_domains,allowed_proxy,actual_evidence_ids,actual_fact_ids,actual_source_ids,basket_status,conflict_status,counter_check_status,basket_quality,usage_limit,gap_action,notes
EB-01,EXEC-USCTRL-CNSEMI-EQP-20260710-1,policy_primary,JU-01,ER-01,primary_support,policy,rule_text|reported_fact,SP-US-GOV,S1,3,2022-2026,美国对华半导体制造设备规则,export_control|entity_list,false,EV-01|EV-02|EV-03,,SRC-BIS-2022|SRC-BIS-2023|SRC-BIS-2024,met,no_material_conflict,checked,Q4,只确认定向规则不写全面禁运,none,三轮主要升级
EB-02,EXEC-USCTRL-CNSEMI-EQP-20260710-1,supply_counter,JU-01,ER-03,counter_evidence,supply,reported_fact|financial_data,SP-COMPANY-FILING,S2,3,2025-2026,海外设备厂商中国业务,foreign_vendor_sales|legacy_node,false,EV-07|EV-08|EV-09,,SRC-KLA-2025|SRC-AXCELIS-2025|SRC-ASML-2025,met,no_material_conflict,checked,Q3,单公司产品结构不同,none,证明并非所有成熟制程全面退出
EB-03,EXEC-USCTRL-CNSEMI-EQP-20260710-1,effective_status,JU-01,ER-02,cross_validation,event,rule_text|enforcement_fact,SP-US-GOV,S1,3,2025-2026,VEU附属实体规则与执法,effective_date|suspension|enforcement,false,EV-04|EV-05|EV-06,,SRC-BIS-VEU|SRC-BIS-AFFIL|SRC-BIS-PENALTY,met,no_material_conflict,checked,Q4,未来再生效条款只作闸门,none,生效与暂停分开
EB-04,EXEC-USCTRL-CNSEMI-EQP-20260710-1,demand_primary,JU-02,ER-04,primary_support,demand,data|forecast,SP-INDUSTRY-ASSOC|SP-COMPANY-FILING,S2,2,2024-2027,中国设备市场与晶圆厂,equipment_spending|fab_utilization,false,EV-10|EV-11|EV-12,,SRC-SEMI-BILLINGS|SRC-SEMI-FORECAST|SRC-HUAHONG-2025,met,no_material_conflict,checked,Q4,预测与实际分开且支出不等于国产份额,none,需求池仍大但可能高位趋缓
EB-05,EXEC-USCTRL-CNSEMI-EQP-20260710-1,demand_counter,JU-02,ER-04,counter_evidence,demand,data|forecast,SP-INDUSTRY-ASSOC|SP-COMPANY-FILING,S2,2,2025-2027,中国设备支出高位变化,equipment_spending|moderation,false,EV-10|EV-11,,SRC-SEMI-BILLINGS|SRC-SEMI-FORECAST,met,no_material_conflict,checked,Q3,只说明高位趋缓风险,none,反证不是需求崩塌
EB-06,EXEC-USCTRL-CNSEMI-EQP-20260710-1,commercialization_support,JU-02,ER-05,cross_validation,order,reported_fact|management_statement,SP-COMPANY-FILING|SP-EXCHANGE,S2,5,2024-2026,至少五类国产设备,validation|repeat_order|batch_delivery,true,EV-13|EV-14|EV-15|EV-16|EV-18|EV-19|EV-20,,SRC-SSE-2024|SRC-NAURA-2025|SRC-AMEC-H1|SRC-PIOTECH-2025|SRC-HWATSING-2025|SRC-KINGSEMI-2025|SRC-SSE-2025,met,no_material_conflict,checked,Q3,客户名称和采购台数多未披露,none,从首台到批量的证据强弱不同
EB-07,EXEC-USCTRL-CNSEMI-EQP-20260710-1,commercialization_counter,JU-02,ER-05,counter_evidence,financial,financial_data|risk_factor,SP-COMPANY-FILING,S2,3,2025,收入快增样本利润与上游风险,margin|r_and_d|restricted_components,false,EV-14|EV-17|EV-19,,SRC-NAURA-2025|SRC-ACMR-2025|SRC-KINGSEMI-2025,met,no_material_conflict,checked,Q3,公司风险不能直接外推全行业,none,利润质量和交付能力反证
EB-08,EXEC-USCTRL-CNSEMI-EQP-20260710-1,category_cross_section,JU-03,ER-06,cross_validation,exposure,reported_fact|financial_data,SP-COMPANY-FILING|SP-EXCHANGE,S2,6,2024-2026,刻蚀薄膜清洗CMP量测检测涂胶显影等,category_maturity|installed_base,true,EV-13|EV-14|EV-15|EV-16|EV-18|EV-19|EV-20,,SRC-SSE-2024|SRC-NAURA-2025|SRC-AMEC-H1|SRC-PIOTECH-2025|SRC-HWATSING-2025|SRC-KINGSEMI-2025|SRC-SSE-2025,met,no_material_conflict,checked,Q3,只给分组方向排序,none,光刻缺公开量产证据
EB-09,EXEC-USCTRL-CNSEMI-EQP-20260710-1,financial_counter,JU-03,ER-07,counter_evidence,financial,financial_data,SP-COMPANY-FILING|SP-EXCHANGE,S2,5,2025,国产设备代表公司,revenue|growth|margin|profit_quality,false,EV-14|EV-16|EV-18|EV-19|EV-20,,SRC-NAURA-2025|SRC-PIOTECH-2025|SRC-HWATSING-2025|SRC-KINGSEMI-2025|SRC-SSE-2025,met,no_material_conflict,checked,Q4,业务结构和基数不同不得做投资排名,none,收入增速仅验证分化
EB-10,EXEC-USCTRL-CNSEMI-EQP-20260710-1,upstream_block,JU-04,ER-08,blocking_condition,supply,rule_text|risk_factor,SP-US-GOV|SP-COMPANY-FILING,S1,2,2024-2026,受限国产设备厂商与关键部件,restricted_components|software|customer_requalification,false,EV-03|EV-17,,SRC-BIS-2024|SRC-ACMR-2025,met,no_material_conflict,checked,Q3,目前只有个别公司披露,continue_search,构成反向约束但未全面阻断
EB-11,EXEC-USCTRL-CNSEMI-EQP-20260710-1,upstream_mitigation,JU-04,ER-08,counter_evidence,supply,management_statement,SP-COMPANY-FILING,S2,1,2025,受限厂商缓释措施,component_substitution|customer_requalification,false,EV-17,,SRC-ACMR-2025,met,no_material_conflict,checked,Q3,管理层表述需后续交付验证,continue_search,公司称影响可管理但需切换部件和客户认证
