evidence_basket_id,execution_id,basket_type,target_judgment_unit_id,target_requirement_ids,basket_role,required_evidence_categories,required_claim_types,required_source_profile_ids,minimum_source_tier,minimum_independent_source_count,required_time_coverage,required_object_coverage,required_content_domains,allowed_proxy,actual_evidence_ids,actual_fact_ids,actual_source_ids,basket_status,conflict_status,counter_check_status,quality_level,allowed_04_output,usage_limit,gap_action,notes
EB-NEG-TIMELINE,EXEC-USIRAN-NEG-SEMI-20260709-1,谈判时间线,JU-01,ER-01,primary_support,event,reported_fact,SP-APNEWS|SP-AXIOS,S3,2,2026Q2Q3,美伊谈判,geopolitical,false,EV-01|EV-02|EV-03,EV-01|EV-02|EV-03,SRC-01|SRC-02|SRC-03,partial,minor_conflict,checked,Q3_directional_ready,conditional_only, rhetoric与事实需分开,补MOU原文,
EB-NEG-STABLE,EXEC-USIRAN-NEG-SEMI-20260709-1,谈判稳定反证,JU-01,ER-01,counter_evidence,event,reported_fact,SP-APNEWS,S3,1,2026-07,谈判,geopolitical,false,EV-02,EV-02,SRC-01,partial,no_material_conflict,checked,Q2_reasoning_usable,conditional_only,幕后谈判仍在进行,,
EB-SECTOR-REACT,EXEC-USIRAN-NEG-SEMI-20260709-1,板块反应,JU-02,ER-02,primary_support,valuation,data_point,SP-MARKET,S4,1,2026-07,半导体指数,market,true,EV-04,EV-04,SRC-04,partial,no_material_conflict,checked,Q2_reasoning_usable,conditional_only,仅情绪通道,补多指数,
EB-PRICE-DECOUPLE,EXEC-USIRAN-NEG-SEMI-20260709-1,定价脱钩,JU-02,ER-02,counter_evidence,valuation,background,SP-MARKET,S4,1,2026-07,半导体,market,false,EV-11,EV-11,SRC-04,partial,no_material_conflict,checked,Q1_background,conditional_only,弱反证,,
EB-PHYSICAL-FLOW,EXEC-USIRAN-NEG-SEMI-20260709-1,实物流,JU-03,ER-03,primary_support,supply,reported_fact,SP-APNEWS|SP-AXIOS,S3,2,2026-07,霍尔木兹,shipping,false,EV-03|EV-05,EV-03|EV-05,SRC-02|SRC-03,partial,minor_conflict,checked,Q3_directional_ready,conditional_only,谈妥≠通航恢复,补航运硬数据,
EB-PHYSICAL-STUCK,EXEC-USIRAN-NEG-SEMI-20260709-1,实物流受阻,JU-03,ER-03,counter_evidence,supply,analysis,SP-GEP,S4,1,2026,氦气,helium,false,EV-06,EV-06,SRC-05,partial,no_material_conflict,checked,Q2_reasoning_usable,conditional_only,停火不解除氦气约束,,
EB-CHAIN-SEG,EXEC-USIRAN-NEG-SEMI-20260709-1,全链环节,JU-04,ER-05,cross_validation,supply,analysis,SP-LIGHTSOURCE|SP-GEP,S4,2,2026,半导体全链,semiconductor,true,EV-07|EV-08|EV-14|EV-15|EV-16|EV-17,EV-07|EV-08|EV-14|EV-15|EV-16|EV-17,SRC-05|SRC-06|SRC-09,met,no_material_conflict,checked,Q3_directional_ready,conditional_only,汇总层非单厂精确,,
EB-CHAIN-FLAT,EXEC-USIRAN-NEG-SEMI-20260709-1,全链无差异,JU-04,ER-05,counter_evidence,supply,analysis,SP-LIGHTSOURCE,S4,1,2026,fab,semiconductor,false,EV-12,EV-12,SRC-06,partial,no_material_conflict,checked,Q1_background,conditional_only,反证未充分,补厂侧运营,
EB-SCENARIO,EXEC-USIRAN-NEG-SEMI-20260709-1,情景边界,JU-05,ER-06,cross_validation,event,scenario,SP-LIGHTSOURCE,S4,1,向前,全球半导体,semiconductor,false,EV-09,EV-09,SRC-06,partial,minor_conflict,checked,Q2_reasoning_usable,conditional_only,情景非预测,,
EB-SCENARIO-BLOCK,EXEC-USIRAN-NEG-SEMI-20260709-1,情景阻断,JU-05,ER-06,counter_evidence,event,background,SP-APNEWS,S3,1,2026-07,谈判,geopolitical,false,EV-01,EV-01,SRC-01,partial,no_material_conflict,checked,Q2_reasoning_usable,conditional_only,局势快速变化,,
EB-CN-SEG,EXEC-USIRAN-NEG-SEMI-20260709-1,中国三类,JU-06,ER-07,primary_support,exposure,analysis,SP-CN-MEDIA,S5,1,2026,中国半导体,china,true,EV-10,EV-10,SRC-07,partial,minor_conflict,checked,Q2_reasoning_usable,conditional_only,转述层,补披露,
EB-CN-SENTIMENT,EXEC-USIRAN-NEG-SEMI-20260709-1,情绪误读,JU-06,ER-07,counter_evidence,valuation,background,SP-MARKET,S4,1,2026-07,A股半导体,market,false,EV-04,EV-04,SRC-04,partial,no_material_conflict,checked,Q1_background,conditional_only,板块摆动≠制造放松,,
EB-FAB-DISC,EXEC-USIRAN-NEG-SEMI-20260709-1,fab披露,JU-07,ER-08,blocking_condition,financial,disclosure,SP-FILING,S1,1,2026Q2,fab,semiconductor,false,EV-13,EV-13,SRC-08,met,no_material_conflict,checked,Q2_reasoning_usable,insufficient,负向确认用于停止节点,保持停止,
EB-SANCTIONS,EXEC-USIRAN-NEG-SEMI-20260709-1,制裁贸易,JU-04,ER-04,background_evidence,policy,reported_fact,SP-APNEWS,S3,1,2026,核谈判,policy,false,EV-01,EV-01,SRC-01,partial,no_material_conflict,checked,Q2_reasoning_usable,conditional_only,制裁与谈判交织,,
