evidence_id,execution_id,requirement_id,evidence_requirement_ids,evidence_basket_ids,linked_judgment_unit_ids,source_run_id,source_id,source_date,source_locator,claim_text,statement_nature,content_domain,normalized_fact,fact_status,evidence_role,proxy_indicator_id,is_counter_evidence,is_cross_validation,grounds_input_ids,evidence_profile_refs,state_variable_ids,quality_status,source_authority,directness,traceability,independence,independence_group_id,time_relevance,scope_match,conflict_status,conflict_group_id,counter_evidence_flag,confidence_ceiling,usage_limit,quote_ref,notes
EV-01,EXEC-USIRAN-NEG-SEMI-20260709-1,ER-01,ER-01,EB-NEG-TIMELINE|EB-SCENARIO-BLOCK|EB-SANCTIONS,JU-01|JU-05,SR-01,SRC-01,2026-07-09,,Trump宣布因言辞破裂停火但幕后谈判继续,reported_fact,geopolitical,停火 rhetoric break talks continue,confirmed,primary_support,,false,false,RI-01,EP-NEG-SIGNAL,SV-NEG-SIGNAL,accepted,medium,direct,high,independent,IG-NEWS-INTL,current,matched,minor_conflict,,false,medium, rhetoric与MOU细节需交叉,,
EV-02,EXEC-USIRAN-NEG-SEMI-20260709-1,ER-01,ER-01,EB-NEG-TIMELINE|EB-NEG-STABLE,JU-01,SR-01,SRC-01,2026-07-09,,MOU因霍尔木兹通航条款分歧而松动,reported_fact,geopolitical,MOU unraveling Hormuz terms,confirmed,primary_support,,false,false,RI-01,EP-NEG-SIGNAL,SV-NEG-SIGNAL,accepted,medium,direct,high,independent,IG-NEWS-INTL,current,matched,minor_conflict,,false,medium,条款文本未获,,
EV-03,EXEC-USIRAN-NEG-SEMI-20260709-1,ER-01,ER-01,EB-NEG-TIMELINE|EB-PHYSICAL-FLOW,JU-01|JU-03,SR-02,SRC-02,2026-07-09,,霍尔木兹海峡条款成为谈判核心焦点,reported_fact,shipping,Hormuz focal in negotiations,confirmed,primary_support,,false,false,RI-03,EP-PHYSICAL-LAG,SV-HORMUZ-ACTUAL|SV-NEG-SIGNAL,accepted,medium,direct,high,independent,IG-NEWS-INTL,current,matched,no_material_conflict,,false,medium,,,
EV-04,EXEC-USIRAN-NEG-SEMI-20260709-1,ER-02,ER-02,EB-SECTOR-REACT|EB-CN-SENTIMENT,JU-02|JU-06,SR-04,SRC-04,2026-07-09,,谈判日前后半导体指数波动约2%,data_point,market,sector index move ~2pct,confirmed,primary_support,PX-01,false,false,RI-02,EP-SECTOR-SENTIMENT,SV-SECTOR-PRICE,accepted,medium,proxy,high,independent,IG-MARKET,current,matched,no_material_conflict,,false,medium,仅情绪通道代理,,
EV-05,EXEC-USIRAN-NEG-SEMI-20260709-1,ER-03,ER-03,EB-PHYSICAL-FLOW,JU-03,SR-03,SRC-03,2026-07-09,,谈判聚焦通航安全与护航安排,reported_fact,shipping,transit security focus,partial,primary_support,,false,false,RI-03,EP-PHYSICAL-LAG,SV-HORMUZ-ACTUAL,accepted,medium,indirect,medium,independent,IG-NEWS-INTL,current,matched,minor_conflict,,false,medium,缺航运硬统计,,
EV-06,EXEC-USIRAN-NEG-SEMI-20260709-1,ER-03,ER-03,EB-PHYSICAL-STUCK,JU-03,SR-05,SRC-05,2026-07-08,,停火不等于卡塔尔氦气供应立即恢复,analysis,helium,ceasefire not immediate helium recovery,confirmed,counter_evidence,,true,false,RI-03,EP-PHYSICAL-LAG,SV-HE-RESTART,accepted,medium,indirect,medium,independent,IG-RESEARCH,current,matched,no_material_conflict,,true,medium,咨询视角,,
EV-07,EXEC-USIRAN-NEG-SEMI-20260709-1,ER-05,ER-05,EB-CHAIN-SEG,JU-04,SR-06,SRC-06,2026-07-07,,氦气约束下材料与制造环节优先承压,analysis,semiconductor,materials mfg first pressure,partial,cross_validation,PX-02,false,true,RI-04,EP-CHAIN-SPLIT,SV-MAT-LEAD,accepted,medium,indirect,medium,independent,IG-RESEARCH,current,matched,no_material_conflict,,false,medium,情景分析,,
EV-08,EXEC-USIRAN-NEG-SEMI-20260709-1,ER-05,ER-05,EB-CHAIN-SEG,JU-04,SR-05,SRC-05,2026-07-08,,卡塔尔供应全球氦气约30-40%,estimate,helium,Qatar 30-40pct global helium,confirmed,cross_validation,,false,true,RI-04,EP-CHAIN-SPLIT,SV-HE-RESTART|SV-MAT-LEAD,accepted,medium,indirect,medium,independent,IG-RESEARCH,current,matched,no_material_conflict,,false,medium,GEP摘要,,
EV-09,EXEC-USIRAN-NEG-SEMI-20260709-1,ER-06,ER-06,EB-SCENARIO,JU-05,SR-06,SRC-06,2026-07-07,,谈妥与谈崩情景下全链影响边界框架,scenario,semiconductor,deal vs break scenario bounds,partial,cross_validation,,false,true,,EP-SCENARIO,SV-NEG-SIGNAL|SV-HE-RESTART,accepted,medium,indirect,medium,independent,IG-RESEARCH,forward,matched,minor_conflict,,false,low,非预测,,
EV-10,EXEC-USIRAN-NEG-SEMI-20260709-1,ER-07,ER-07,EB-CN-SEG,JU-06,SR-07,SRC-07,2026-07-05,,中国制造材料设备设计三类环节方向线索,analysis,china,cn three segment directional clues,partial,primary_support,,false,false,RI-05,EP-CN-SEGMENTS,SV-CN-MFG|SV-CN-MATEQP|SV-CN-DESIGN,accepted,low,indirect,medium,dependent,IG-CN,current,matched,minor_conflict,,false,low,转述层,,
