file,field,description
01_plan/acquisition_channels.csv,acquisition_channel_id,
01_plan/acquisition_channels.csv,execution_id,
01_plan/acquisition_channels.csv,channel_name,
01_plan/acquisition_channels.csv,channel_type,
01_plan/acquisition_channels.csv,supported_source_profile_ids,
01_plan/acquisition_channels.csv,supported_content_domains,
01_plan/acquisition_channels.csv,repeatability,
01_plan/acquisition_channels.csv,traceability_level,
01_plan/acquisition_channels.csv,permission_requirement,
01_plan/acquisition_channels.csv,typical_failure_modes,
01_plan/acquisition_channels.csv,allowed_usage,
01_plan/acquisition_channels.csv,forbidden_usage,
01_plan/acquisition_channels.csv,notes,
01_plan/evidence_baskets.csv,evidence_basket_id,运行评估实例 ID
01_plan/evidence_baskets.csv,basket_requirement_ref,对应 02 EvidenceBasketRequirement；计划门槛权威源
01_plan/evidence_baskets.csv,execution_id,
01_plan/evidence_baskets.csv,basket_type,需求投影字段，非第二权威
01_plan/evidence_baskets.csv,target_judgment_unit_id,对应 02 的核心判断单元（需求投影）
01_plan/evidence_baskets.csv,target_requirement_ids,
01_plan/evidence_baskets.csv,basket_role,需求投影字段，非第二权威
01_plan/evidence_baskets.csv,required_evidence_categories,需求投影
01_plan/evidence_baskets.csv,required_claim_types,需求投影
01_plan/evidence_baskets.csv,required_source_profile_ids,需求投影
01_plan/evidence_baskets.csv,minimum_source_tier,EvidenceBasketRequirement 投影；不得手改成第二权威
01_plan/evidence_baskets.csv,minimum_independent_source_count,EvidenceBasketRequirement 投影
01_plan/evidence_baskets.csv,required_time_coverage,需求投影
01_plan/evidence_baskets.csv,required_object_coverage,需求投影
01_plan/evidence_baskets.csv,required_content_domains,需求投影；财务、经营、产业、政策、市场价格等内容域
01_plan/evidence_baskets.csv,allowed_proxy,EvidenceBasketRequirement 投影
01_plan/evidence_baskets.csv,actual_evidence_ids,运行填充结果
01_plan/evidence_baskets.csv,actual_fact_ids,运行填充结果
01_plan/evidence_baskets.csv,actual_source_ids,运行填充结果
01_plan/evidence_baskets.csv,basket_status,运行满足状态
01_plan/evidence_baskets.csv,conflict_status,运行冲突状态
01_plan/evidence_baskets.csv,counter_check_status,运行反证检查状态
01_plan/evidence_baskets.csv,basket_quality,运行质量等级
01_plan/evidence_baskets.csv,usage_limit,可展示但不可外推的限制
01_plan/evidence_baskets.csv,gap_action,若未就绪，应补齐素材、调整报告类型还是降级交付
01_plan/evidence_baskets.csv,notes,
01_plan/evidence_recipe_matches.csv,recipe_match_id,
01_plan/evidence_recipe_matches.csv,execution_id,
01_plan/evidence_recipe_matches.csv,evidence_recipe_id,既有快照兼容字段；任务内取证任务 ID
01_plan/evidence_recipe_matches.csv,library_recipe_id,兼容字段名；填写知识库_03取证的 kb03:A01—kb03:A09 命名空间方法 ID
01_plan/evidence_recipe_matches.csv,library_basket_ids,兼容字段名；填写统一六类证据角色 ID
01_plan/evidence_recipe_matches.csv,recipe_name,
01_plan/evidence_recipe_matches.csv,target_judgment_unit_id,对应 02 的核心判断单元
01_plan/evidence_recipe_matches.csv,judgment_type,必须精确继承 02 对应 JU 的公共合同原子判断类型
01_plan/evidence_recipe_matches.csv,source_02_hash,必须精确继承对应 02 judgment_unit.content_hash
01_plan/evidence_recipe_matches.csv,strategy_library_ref,
01_plan/evidence_recipe_matches.csv,strategy_version,
01_plan/evidence_recipe_matches.csv,applicable_conditions,
01_plan/evidence_recipe_matches.csv,required_basket_types,
01_plan/evidence_recipe_matches.csv,mandatory_basket_types,
01_plan/evidence_recipe_matches.csv,optional_basket_types,
01_plan/evidence_recipe_matches.csv,counter_basket_types,
01_plan/evidence_recipe_matches.csv,minimum_pass_rule,
01_plan/evidence_recipe_matches.csv,high_quality_rule,
01_plan/evidence_recipe_matches.csv,proxy_rule,
01_plan/evidence_recipe_matches.csv,source_rule,
01_plan/evidence_recipe_matches.csv,stop_rule,
01_plan/evidence_recipe_matches.csv,downgrade_rule,
01_plan/evidence_recipe_matches.csv,match_status,
01_plan/evidence_recipe_matches.csv,notes,
01_plan/evidence_requirements.csv,evidence_requirement_id,单项证据需求 ID
01_plan/evidence_requirements.csv,execution_id,
01_plan/evidence_requirements.csv,target_judgment_unit_id,对应 02 的核心判断单元
01_plan/evidence_requirements.csv,target_path_node_id,对应路径或节点
01_plan/evidence_requirements.csv,target_state_variable_id,对应状态变量
01_plan/evidence_requirements.csv,requirement_purpose,支持、削弱、阻断、验证、交叉验证或背景
01_plan/evidence_requirements.csv,evidence_role,主证据、交叉验证、反证、阻断、代理或背景
01_plan/evidence_requirements.csv,required_evidence_category,价格、需求、供给、库存、订单、政策、估值等
01_plan/evidence_requirements.csv,required_content_domains,财务、经营、产业、政策、市场价格等内容域
01_plan/evidence_requirements.csv,required_object_scope,公司、产品、地区、产业链环节等对象范围
01_plan/evidence_requirements.csv,required_time_scope,时间窗口
01_plan/evidence_requirements.csv,required_grain,日度、月度、季度、事件点、文本主张等粒度
01_plan/evidence_requirements.csv,minimum_evidence_grade,
01_plan/evidence_requirements.csv,minimum_source_tier,最低来源层级
01_plan/evidence_requirements.csv,minimum_independent_source_count,最少独立来源数
01_plan/evidence_requirements.csv,mandatory_basket_ids,
01_plan/evidence_requirements.csv,counter_basket_ids,
01_plan/evidence_requirements.csv,allowed_proxy,是否允许代理指标
01_plan/evidence_requirements.csv,preferred_source_profile_ids,
01_plan/evidence_requirements.csv,allowed_acquisition_channel_ids,
01_plan/evidence_requirements.csv,forbidden_sources,禁止来源
01_plan/evidence_requirements.csv,required_freshness,时效要求
01_plan/evidence_requirements.csv,required_traceability,可追溯要求
01_plan/evidence_requirements.csv,required_comparability,可比口径要求
01_plan/evidence_requirements.csv,stop_condition,什么情况下不得进入方向性推理
01_plan/evidence_requirements.csv,missing_policy,缺失时如何处理
01_plan/evidence_requirements.csv,expected_evidence_grade_if_met,
01_plan/evidence_requirements.csv,missing_action,不满足时应降级 Q、补证、阻断路径或退回的动作
01_plan/evidence_requirements.csv,notes,
01_plan/proxy_indicators.csv,proxy_indicator_id,
01_plan/proxy_indicators.csv,execution_id,
01_plan/proxy_indicators.csv,proxy_indicator_name,
01_plan/proxy_indicators.csv,proxy_for,
01_plan/proxy_indicators.csv,target_state_variable_id,对应状态变量
01_plan/proxy_indicators.csv,target_requirement_id,
01_plan/proxy_indicators.csv,proxy_logic,
01_plan/proxy_indicators.csv,valid_conditions,
01_plan/proxy_indicators.csv,invalid_conditions,
01_plan/proxy_indicators.csv,required_source_profile_ids,
01_plan/proxy_indicators.csv,confidence_discount,
01_plan/proxy_indicators.csv,cannot_replace,
01_plan/proxy_indicators.csv,required_disclosure,
01_plan/proxy_indicators.csv,proxy_status,
01_plan/proxy_indicators.csv,notes,
01_plan/source_profiles.csv,source_profile_id,
01_plan/source_profiles.csv,execution_id,
01_plan/source_profiles.csv,source_name,
01_plan/source_profiles.csv,source_tier,
01_plan/source_profiles.csv,source_category,
01_plan/source_profiles.csv,authority_type,
01_plan/source_profiles.csv,typical_content_domains,
01_plan/source_profiles.csv,allowed_claim_types,
01_plan/source_profiles.csv,forbidden_use,
01_plan/source_profiles.csv,default_reliability,
01_plan/source_profiles.csv,independence_group,
01_plan/source_profiles.csv,access_scope_default,
01_plan/source_profiles.csv,common_limitations,
01_plan/source_profiles.csv,notes,
02_assets/acquisition_log.csv,﻿attempt_id,
02_assets/acquisition_log.csv,execution_id,
02_assets/acquisition_log.csv,requirement_id,
02_assets/acquisition_log.csv,linked_judgment_unit_ids,绑定的核心判断单元
02_assets/acquisition_log.csv,path_id,
02_assets/acquisition_log.csv,node_id,
02_assets/acquisition_log.csv,recipe_id,
02_assets/acquisition_log.csv,source_id,
02_assets/acquisition_log.csv,source_tier,
02_assets/acquisition_log.csv,search_round,
02_assets/acquisition_log.csv,query_parameters,
02_assets/acquisition_log.csv,attempted_at,
02_assets/acquisition_log.csv,result_status,
02_assets/acquisition_log.csv,records_received,
02_assets/acquisition_log.csv,records_accepted,
02_assets/acquisition_log.csv,is_counter_evidence_search,
02_assets/acquisition_log.csv,failure_code,
02_assets/acquisition_log.csv,fallback_action,
02_assets/acquisition_log.csv,stopping_rule,
02_assets/acquisition_log.csv,stop_reason,
02_assets/acquisition_log.csv,notes,
02_assets/evidence_assessments.csv,assessment_id,
02_assets/evidence_assessments.csv,execution_id,
02_assets/evidence_assessments.csv,evaluated_at,
02_assets/evidence_assessments.csv,profile_ref,
02_assets/evidence_assessments.csv,assessment_scope,
02_assets/evidence_assessments.csv,usability,
02_assets/evidence_assessments.csv,quality_level,证据质量等级
02_assets/evidence_assessments.csv,rationale,
02_assets/evidence_assessments.csv,gap_refs,
02_assets/evidence_assessments.csv,evidence_refs,
02_assets/evidence_assessments.csv,linked_judgment_unit_ids,绑定的核心判断单元
02_assets/evidence_assessments.csv,notes,
02_assets/evidence_assessments.csv,source_authority_score,
02_assets/evidence_assessments.csv,directness_score,
02_assets/evidence_assessments.csv,freshness_score,
02_assets/evidence_assessments.csv,scope_match_score,
02_assets/evidence_assessments.csv,independent_validation_score,
02_assets/evidence_assessments.csv,reliability_score_total,
02_assets/evidence_assessments.csv,reliability_band,
02_assets/evidence_assessments.csv,weakest_dimension,
02_assets/evidence_assessments.csv,reliability_basis,
02_assets/evidence_assessments.csv,hard_limit,
02_assets/evidence_claims.csv,claim_id,
02_assets/evidence_claims.csv,execution_id,
02_assets/evidence_claims.csv,source_document_id,
