instance_id,execution_id,requirement_id,linked_judgment_unit_ids,instance_type,name,canonical_name,stable_identifier,classification,scope,valid_from,valid_to,verification_status,source_run_refs,evidence_refs,notes
INST-STRAIT,EXEC-SEM-HORMUZ-20260708-1,IR-01,JU-01,Channel,霍尔木兹海峡通道,Strait_of_Hormuz,CH-HORMUZ,logistics_chokepoint,中东—亚洲航线,2026-01-01,,verified,SR-01|SR-03,EV-01|EV-03,
INST-RAS,EXEC-SEM-HORMUZ-20260708-1,IR-02,JU-01|JU-02,ManufacturingFacility,卡塔尔拉斯拉凡相关设施,Ras_Laffan,FAC-RAS-LAFFAN,helium_lng_complex,卡塔尔,2026-01-01,,proxy,SR-05|SR-04,EV-06|EV-07,设施损伤细节多家转述
INST-QATAR-HE,EXEC-SEM-HORMUZ-20260708-1,IR-03,JU-02|JU-05,Material,卡塔尔氦气供给,Qatar_Helium,MAT-HE-QATAR,process_gas,全球氦气,2026-01-01,,contested,SR-05|SR-04,EV-05|EV-07,份额口径存在30%/1/3表述差异
INST-HELIUM-LOG,EXEC-SEM-HORMUZ-20260708-1,IR-03,JU-01|JU-05,LogisticsBatch,液氦专用集装箱滞留,Liquid_Helium_Containers,LOG-HE-200,specialty_container,中东,2026-04-01,,proxy,SR-06,EV-04,约200箱
INST-KR-TW-FAB,EXEC-SEM-HORMUZ-20260708-1,IR-04,JU-03,ManufacturingCluster,韩国台湾先进制造,KR_TW_Advanced_Fab,FAB-KR-TW,advanced_logic_memory,韩国|台湾,2026-01-01,,proxy,SR-07,EV-08|EV-09,
INST-CN-ADV,EXEC-SEM-HORMUZ-20260708-1,IR-05,JU-04|JU-06,ManufacturingCluster,中国先进制造氦气暴露,CN_Advanced_Helium_Exposure,FAB-CN-ADV,advanced_manufacturing,中国大陆,2026-01-01,,proxy,SR-08,EV-10,
INST-CN-GAS,EXEC-SEM-HORMUZ-20260708-1,IR-06,JU-04,MaterialSegment,中国材料气体国产替代,CN_Gas_Substitution,MAT-CN-GAS-SUB,substitution,中国气体材料,2026-01-01,,hypothesis,SR-08,EV-10,替代认证证据不足
INST-CN-DES,EXEC-SEM-HORMUZ-20260708-1,IR-07,JU-04,MarketSegment,中国设计与设备情绪映射,CN_Design_Equipment_Sentiment,SEG-CN-DES-EQ,sentiment_mapping,中国A股设计设备,2026-04-01,,proxy,SR-08,EV-11,情绪层不得外推制造约束
INST-BRENT,EXEC-SEM-HORMUZ-20260708-1,IR-01,JU-01|JU-02,PriceIndex,Brent油价脉冲,Brent_Pulse,PX-BRENT,energy_proxy,全球原油,2026-04-01,,verified,SR-02,EV-02,对比项
INST-KR,EXEC-SEM-HORMUZ-20260708-1,IR-04,JU-03|JU-05,Country,韩国氦气进口结构,Korea_Helium_Import,CTY-KR-HE,import_dependence,韩国,2026-01-01,,contested,SR-07,EV-08,
INST-FAB-LOSS,EXEC-SEM-HORMUZ-20260708-1,IR-05,JU-06,DataAvailability,精确fab损失数据可得性,Precise_Fab_Loss_Availability,GAP-FAB-LOSS,missing_data,全球/中国,2026-01-01,,verified,SR-07,EV-12,缺口对象
