input_id,execution_id,requirement_id,linked_judgment_unit_ids,state_binding_ref,observation_requirement_ref,input_type,target_instance_id,anchor_instance_type,primary_state_variable_id,supports_state_variable_ids,evidence_profile_refs,event_type,raw_value,raw_unit,normalized_value,normalized_unit,currency,direction,value_type,data_granularity,is_forward_looking,business_time_start,business_time_end,publication_time,scope,statement_nature,verification_status,source_run_refs,evidence_refs,transformation_ref,notes
RI-01,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-01,JU-01|JU-04,SB-01,OR-01,policy_fact,INS-CONTROL,PolicyInstrument,SV-01,SV-01,EP-POLICY-01,export_control,2022年规则建立先进计算与半导体制造设备定向控制,文本,定向控制基线,text,,tightening,reported_fact,event,false,2022-10-07,2026-07-15,2022-10-07,美国对华设备规则,reported_fact,verified,SR-001,EV-01,none,规则原文基线
RI-02,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-01,JU-01|JU-04,SB-01,OR-01,policy_fact,INS-CONTROL,PolicyInstrument,SV-01,SV-01,EP-POLICY-01,export_control,2023年增加设备类型并封堵规避路径,文本,控制范围加深,text,,tightening,reported_fact,event,false,2023-10-17,2026-07-15,2023-10-17,美国对华设备规则,reported_fact,verified,SR-002,EV-02,none,历次升级之一
RI-03,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-01,JU-01|JU-04,SB-01,OR-01,policy_fact,INS-CONTROL,PolicyInstrument,SV-01,SV-01|SV-06,EP-POLICY-01,export_control,2024年新增24类设备和3类软件并增列140个实体,项,24|3|140,count,,tightening,data,event,false,2024-12-02,2026-07-15,2024-12-02,美国对华设备规则,reported_fact,verified,SR-003,EV-03,none,覆盖多类前道设备
RI-04,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-02,JU-01|JU-04,SB-08,OR-08,policy_event,INS-CONTROL,PolicyInstrument,SV-08,SV-08,EP-POLICY-GATE-01,VEU_change,外资在华晶圆厂VEU授权撤销并转许可管理,文本,既有运营拟许可但扩产升级不获支持,text,,tightening,reported_fact,event,false,2025-12-31,2026-07-15,2025-08-29,中国外资晶圆厂,reported_fact,verified,SR-004,EV-04,none,已生效基线
RI-05,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-02,JU-01|JU-04,SB-08,OR-08,policy_event,INS-CONTROL,PolicyInstrument,SV-08,SV-08,EP-POLICY-GATE-01,affiliate_rule,附属实体规则暂停至2026年11月9日并于11月10日恢复,日期,2026-11-10,date,,future_gate,reported_fact,event,true,2025-11-10,2027-07-15,2025-11-12,美国出口管理规则,rule_text,verified,SR-005,EV-05,none,不计入当前已生效基线
RI-06,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-02,JU-01|JU-04,SB-01,OR-01,enforcement_event,INS-CONTROL,PolicyInstrument,SV-01,SV-01,EP-POLICY-GATE-01,enforcement,应用材料相关违规出口处罚约2.52亿美元,百万美元,252,USD_million,USD,tightening,data_point,event,false,2021-01-01,2026-02-12,2026-02-12,半导体制造设备执法,reported_fact,verified,SR-006,EV-06,none,证明执行强度
RI-07,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-03,JU-01|JU-04,SB-02,OR-02,foreign_supply,INS-CAT-MI,Segment,SV-02,SV-02,EP-SUPPLY-COUNTER-01,china_revenue,KLA中国收入占比2023至2025为27%|43%|33%,百分比,27|43|33,percent,,mixed,time_series,annual,false,2023-07-01,2025-06-30,2025-08-08,量测检测设备厂商,financial_data,verified,SR-007,EV-07,none,显示受限与需求正常化并存
RI-08,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-03,JU-01|JU-04,SB-02,OR-02,foreign_supply,INS-CAT-MI,Segment,SV-02,SV-02,EP-SUPPLY-COUNTER-01,license_availability,Axcelis称仍可向绝大多数中国客户发货,文本,成熟制程部分设备仍可供货,text,,counter,reported_fact,company,false,2025-01-01,2025-12-31,2026-02-20,离子注入设备,management_statement,verified,SR-008,EV-08,none,反证全面禁运叙事
RI-09,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-03,JU-01|JU-04,SB-02,OR-02,foreign_supply,INS-CAT-LITHO,Segment,SV-02,SV-02,EP-SUPPLY-COUNTER-01,DUV_sales,ASML称2025年中国DUV业务强于预期,文本,成熟光刻供给仍有残余,text,,counter,reported_fact,company,false,2025-01-01,2025-12-31,2026-02-25,光刻设备,management_statement,verified,SR-009,EV-09,none,先进光刻限制仍然显著
RI-10,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-04,JU-02|JU-04,SB-03,OR-03,demand_actual,INS-INDUSTRY,Industry,SV-03,SV-03,EP-DEMAND-01,equipment_billings,中国2025年半导体设备销售493亿美元同比下降0.5%,十亿美元,49.3,USD_billion,USD,flat,data_point,regional_annual,false,2025-01-01,2025-12-31,2026-04-07,中国设备市场,financial_data,verified,SR-010,EV-10,none,需求高位但未继续快速增长
RI-11,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-04,JU-02|JU-04,SB-03,OR-03,demand_forecast,INS-INDUSTRY,Industry,SV-03,SV-03,EP-DEMAND-01,equipment_forecast,全球设备销售2025至2027为1330|1450|1560亿美元且中国仍领先但趋缓,十亿美元,133|145|156,USD_billion,USD,moderating,forecast,time_series,true,2025-01-01,2027-12-31,2025-12-16,全球及中国设备市场,forecast,verified,SR-011,EV-11,none,预测不作事实
RI-12,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-04,JU-02|JU-04,SB-03,OR-03,fab_demand,INS-INDUSTRY,Industry,SV-03,SV-03,EP-DEMAND-01,fab_utilization,华虹8英寸及12英寸利用率全年高于100%且Fab9爬坡,文本,需求仍有项目支撑,text,,support,reported_fact,company,false,2025-01-01,2025-12-31,2026-03-26,中国特色工艺晶圆厂,financial_data,verified,SR-012,EV-12,none,单一晶圆厂样本
RI-13,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-05|ER-06,JU-02|JU-03|JU-04,SB-04|SB-07,OR-04|OR-07,industry_commercialization,INS-INDUSTRY,Industry,SV-04,SV-04|SV-07,EP-COMMERCIALIZATION-01|EP-CATEGORY-01,shipment,十余家设备公司2024年出货超16000台且营收同比增长38.8%,台,16000|38.8,count|percent,,support,data,cross_section,false,2024-01-01,2024-12-31,2025-04-30,科创板设备公司样本,financial_data,verified,SR-013,EV-13,none,行业汇总非统一国产化率
RI-14,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-05|ER-06|ER-07,JU-02|JU-03|JU-04,SB-04|SB-05|SB-07,OR-04|OR-05|OR-07,company_actual,INS-NAURA,Company,SV-05,SV-04|SV-05|SV-07,EP-COMMERCIALIZATION-01|EP-FINANCIAL-01|EP-CATEGORY-01,revenue,北方华创营收393.53亿元同比30.85%且集成电路设备收入同比超50%并伴随毛利率下降,亿元人民币,393.53|30.85|50,CNY_100m|percent,CNY,positive,financial_data,company_annual,false,2025-01-01,2025-12-31,2026-04-18,平台型设备公司,financial_data,verified,SR-014,EV-14,none,增长与利润质量并看
RI-15,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-05|ER-06,JU-02|JU-03|JU-04,SB-04|SB-07,OR-04|OR-07,company_order,INS-AMEC,Company,SV-04,SV-04|SV-07,EP-COMMERCIALIZATION-01|EP-CATEGORY-01,repeat_order,多款LPCVD和ALD进入市场并获得大批量重复性订单,文本,重复订单已披露,text,,positive,reported_fact,company_product,false,2025-01-01,2025-06-30,2025-08-29,刻蚀和薄膜沉积,management_statement,verified,SR-015,EV-15,none,客户与台数未披露
RI-16,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-05|ER-06|ER-07,JU-02|JU-03|JU-04,SB-04|SB-05|SB-07,OR-04|OR-05|OR-07,company_actual,INS-PIOTECH,Company,SV-05,SV-04|SV-05|SV-07,EP-COMMERCIALIZATION-01|EP-FINANCIAL-01|EP-CATEGORY-01,revenue,拓荆科技营收65.19亿元同比58.87%且混合键合获批量订单,亿元人民币,65.19|58.87,CNY_100m|percent,CNY,positive,financial_data,company_annual,false,2025-01-01,2025-12-31,2026-04-27,薄膜沉积和先进封装,financial_data,verified,SR-016,EV-16,none,高增速受基数和结构影响
RI-17,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-08,JU-03|JU-04,SB-06,OR-06,upstream_risk,INS-ACM,Company,SV-06,SV-06,EP-UPSTREAM-01,entity_list,实体清单限制美国部件和软件且替代部件需客户重新认证,文本,上游依赖形成反向约束,text,,negative,risk_factor,company,false,2024-12-02,2025-12-31,2026-02-26,清洗及电镀设备厂商,risk_factor,verified,SR-017,EV-17,none,公司称影响可管理但需验证
RI-18,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-05|ER-06|ER-07,JU-02|JU-03|JU-04,SB-04|SB-05|SB-07,OR-04|OR-05|OR-07,company_actual,INS-HWATSING,Company,SV-05,SV-04|SV-05|SV-07,EP-COMMERCIALIZATION-01|EP-FINANCIAL-01|EP-CATEGORY-01,revenue,华海清科装备收入40.54亿元同比约33.46%且湿法设备完成验证并批量销售,亿元人民币,40.54|33.46,CNY_100m|percent,CNY,positive,financial_data,company_annual,false,2025-01-01,2025-12-31,2026-04-23,CMP减薄湿法和先进封装,financial_data,verified,SR-018,EV-18,none,不同类别成熟度不同
RI-19,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-05|ER-06|ER-07,JU-02|JU-03|JU-04,SB-04|SB-05|SB-07,OR-04|OR-05|OR-07,company_actual,INS-KINGSEMI,Company,SV-05,SV-04|SV-05|SV-07,EP-COMMERCIALIZATION-01|EP-FINANCIAL-01|EP-CATEGORY-01,revenue,芯源微营收19.48亿元同比11.11%但归母净利同比下降64.64%,亿元人民币,19.48|11.11|-64.64,CNY_100m|percent,CNY,mixed,financial_data,company_annual,false,2025-01-01,2025-12-31,2026-04-18,涂胶显影与清洗,financial_data,verified,SR-019,EV-19,none,新品投入与利润承压
RI-20,EXEC-USCTRL-CNSEMI-EQP-20260715-1,ER-05|ER-06|ER-07,JU-02|JU-03|JU-04,SB-04|SB-05|SB-07,OR-04|OR-05|OR-07,company_actual,INS-ACM,Company,SV-05,SV-04|SV-05|SV-07,EP-COMMERCIALIZATION-01|EP-FINANCIAL-01|EP-CATEGORY-01,revenue,盛美上海营收67.86亿元同比20.80%,亿元人民币,67.86|20.80,CNY_100m|percent,CNY,positive,financial_data,company_annual,false,2025-01-01,2025-12-31,2026-03-23,清洗和电镀设备,financial_data,verified,SR-020,EV-20,none,交易所汇总样本
