evidence_id,execution_id,requirement_id,source_run_id,source_id,source_date,source_locator,claim_text,statement_nature,normalized_fact,evidence_role,grounds_input_ids,evidence_profile_refs,state_variable_ids,quality_status,source_authority,traceability,independence,time_relevance,scope_match,conflict_group_id,notes
EV-01,EXEC-MEM-CYCLE-20260703-1,ER-01|ER-03,SR-01,SRC-01,2026-06-24,https://investors.micron.com/static-files/631b1a32-5537-46ae-8f40-82e42fc79dfe,Micron expects supply-demand conditions for both DRAM and NAND to remain tight beyond calendar 2027,forecast,DRAM/NAND tight beyond 2027 according to Micron,support,RI-01|RI-11,demand_orders|capacity_supply,end_market_demand_strength|supply_availability,usable_with_caveat,primary,fully_traceable,same_origin,current,matched,CG-SUPPLY-2027,供应商利益相关；与TrendForce/WSTS交叉
EV-02,EXEC-MEM-CYCLE-20260703-1,ER-05,SR-01,SRC-01,2026-06-24,https://investors.micron.com/static-files/631b1a32-5537-46ae-8f40-82e42fc79dfe,FQ3 DRAM price low-60s QoQ with low-single-digit bit growth; NAND price mid-80s with mid-single-digit bit growth,data_point,Micron quarterly revenue growth was overwhelmingly price-led for DRAM and NAND,support,RI-08|RI-09|RI-48|RI-49,pricing_economics,product_price_pressure|pricing_power,usable,primary,fully_traceable,partially_independent,current,partially_matched,CG-PRICE,实现价含产品组合影响
EV-03,EXEC-MEM-CYCLE-20260703-1,CER-03,SR-01,SRC-01,2026-06-24,https://investors.micron.com/static-files/631b1a32-5537-46ae-8f40-82e42fc79dfe,FQ4 gross-margin outlook reflects a meaningful moderation in the rate of price increases,forecast,price increase rate likely moderates next quarter,weaken,RI-10,pricing_economics,product_price_pressure|pricing_power,usable_with_caveat,primary,fully_traceable,same_origin,current,partially_matched,CG-PRICE,只削弱涨价加速度，不阻断绝对价格上行
EV-04,EXEC-MEM-CYCLE-20260703-1,ER-05,SR-07,SRC-07,2026-06-01,https://www.trendforce.com/presscenter/news/20260601-13070.html,1Q26 conventional DRAM contract prices rose about 93%-98% QoQ,data_point,1Q26 conventional DRAM had an exceptional contract-price surge,support,RI-06,pricing_economics,product_price_pressure,usable,informed_secondary,fully_traceable,independent,current,matched,CG-PRICE,行业调查实际季度结果
EV-05,EXEC-MEM-CYCLE-20260703-1,ER-03|ER-04,SR-07,SRC-07,2026-06-01,https://www.trendforce.com/presscenter/news/20260601-13070.html,DRAM supplier inventories remained extremely low in 2Q26 and incremental supply prioritized high-capacity server RDIMMs,estimate,supplier inventory low and allocation favors server DRAM,support,RI-05,inventory_cycle,inventory_cycle_position|inventory_buffer_capacity,usable,informed_secondary,fully_traceable,independent,current,matched,CG-INVENTORY,缺定量库存和下游层级
EV-06,EXEC-MEM-CYCLE-20260703-1,ER-06,SR-02,SRC-02,2026-06-25,https://investors.micron.com/static-files/23023765-dfef-4e7e-845b-cd744fc79dfe,Tongluo meaningful shipments expected mid-2027; Singapore HBM packaging capacity expected to contribute from 1H27,forecast,Micron incremental wafer and HBM packaging supply begins contributing in 2027,support,RI-12,capacity_supply,capacity_expansion_progress|supply_availability,usable_with_caveat,primary,fully_traceable,same_origin,current,matched,CG-SUPPLY-2027,未来时间表，良率认证未发生
EV-07,EXEC-MEM-CYCLE-20260703-1,ER-06,SR-06,SRC-06,2026-03-31,https://www.trendforce.com/presscenter/news/20260331-12995.html,Meaningful enterprise SSD capacity expansion is unlikely until late 2027 or 2028,forecast,NAND enterprise-SSD capacity relief likely no earlier than late-2027,support,RI-13,capacity_supply,supply_elasticity|supply_availability,usable_with_caveat,informed_secondary,fully_traceable,independent,usable_with_lag,matched,CG-SUPPLY-2027,预测；需滚动验证
EV-08,EXEC-MEM-CYCLE-20260703-1,ER-01,SR-10,SRC-10,2026-06-24,https://www.wsts.org/esraCMS/extension/esrapdf/generate/105,WSTS forecasts Memory revenue around +250% in 2026 and +32% in 2027,forecast,memory market revenue expansion remains strong through 2027,support,RI-15,demand_orders,end_market_demand_strength,usable_with_caveat,authoritative_secondary,fully_traceable,independent,current,matched,CG-DEMAND,收入增长受价格影响，不等同bit demand
EV-09,EXEC-MEM-CYCLE-20260703-1,ER-01|ER-03|ER-05|ER-06|CER-03,SR-08,SRC-08,2026-06-02,https://www.trendforce.com/presscenter/news/20260602-13074.html,HBM demand remains strong through 2026-2027; HBM wafer-input share rises to about 22% in 2026 and 30% in 2027,forecast,HBM demand and wafer crowd-out intensify into 2027,support,RI-14,capacity_supply,supply_elasticity,usable_with_caveat,informed_secondary,fully_traceable,independent,current,matched,CG-HBM,HBM年度合同价格可能与紧张度错位
EV-10,EXEC-MEM-CYCLE-20260703-1,ER-01|ER-03|ER-05,SR-03,SRC-03,2026-04-30,https://news.samsungsemiconductor.com/global/samsung-electronics-announces-first-quarter-2026-results/,Memory business set record revenue/profit amid limited supply and industry-wide price increases; expects strong server-memory demand in H2,reported_fact,Samsung reports limited supply and strong AI/server demand,support,RI-17,capacity_supply,capacity_tightness|supply_availability,usable_with_caveat,primary,fully_traceable,same_origin,current,matched,CG-DEMAND,事实与公司展望拆分使用
