relation_id,execution_id,requirement_id,linked_judgment_unit_ids,relation_type,source_instance_id,target_instance_id,relation_scope,valid_from,valid_to,verification_status,relation_evidence_strength,source_run_refs,evidence_refs,notes
REL-01,EXEC-MEM-CYCLE-20260715-1,IR-R-01,,productBelongsToSegment,INST-P-HBM,INST-SEG-MEM,global,2025-01-01,,verified,,SR-01|SR-03|SR-05,EV-01,HBM属于存储芯片设计制造环节
REL-02,EXEC-MEM-CYCLE-20260715-1,IR-R-01,,productBelongsToSegment,INST-P-DRAM,INST-SEG-MEM,global,2025-01-01,,verified,,SR-01|SR-03|SR-05,EV-02,通用DRAM属于存储芯片设计制造环节
REL-03,EXEC-MEM-CYCLE-20260715-1,IR-R-01,,productBelongsToSegment,INST-P-NAND,INST-SEG-MEM,global,2025-01-01,,verified,,SR-01|SR-03|SR-05,EV-02,NAND属于存储芯片设计制造环节
REL-04,EXEC-MEM-CYCLE-20260715-1,IR-R-02,,productUsedInApplication,INST-P-HBM,INST-AI-DC,AI accelerators,2025-01-01,,verified,,SR-01|SR-03|SR-05|SR-08,EV-09,HBM用于AI加速器
REL-05,EXEC-MEM-CYCLE-20260715-1,IR-R-02,,productUsedInApplication,INST-P-DRAM,INST-APP-SERVER,server memory,2025-01-01,,verified,,SR-01|SR-03|SR-09,EV-09,通用DRAM用于服务器
REL-06,EXEC-MEM-CYCLE-20260715-1,IR-R-02,,productUsedInApplication,INST-P-DRAM,INST-APP-CONS,PC and smartphone memory,2025-01-01,,verified,,SR-01|SR-06|SR-11,EV-11,通用DRAM用于PC和手机
REL-07,EXEC-MEM-CYCLE-20260715-1,IR-R-02,,productUsedInApplication,INST-P-NAND,INST-APP-SERVER,enterprise SSD,2025-01-01,,verified,,SR-01|SR-06|SR-09,EV-07,NAND用于企业级SSD
REL-08,EXEC-MEM-CYCLE-20260715-1,IR-R-02,,productUsedInApplication,INST-P-NAND,INST-APP-CONS,client storage,2025-01-01,,verified,,SR-06|SR-11,EV-11,NAND用于客户端和手机存储
REL-09,EXEC-MEM-CYCLE-20260715-1,IR-R-03,,productProducedBy,INST-P-HBM,INST-C-MU,global,2025-01-01,,verified,,SR-01,EV-01,Micron生产HBM
REL-10,EXEC-MEM-CYCLE-20260715-1,IR-R-03,,productProducedBy,INST-P-DRAM,INST-C-MU,global,2025-01-01,,verified,,SR-01,EV-02,Micron生产DRAM
REL-11,EXEC-MEM-CYCLE-20260715-1,IR-R-03,,productProducedBy,INST-P-NAND,INST-C-MU,global,2025-01-01,,verified,,SR-01,EV-02,Micron生产NAND
REL-12,EXEC-MEM-CYCLE-20260715-1,IR-R-03,,productProducedBy,INST-P-HBM,INST-C-SS,global,2025-01-01,,verified,,SR-03,EV-10,Samsung生产HBM
REL-13,EXEC-MEM-CYCLE-20260715-1,IR-R-03,,productProducedBy,INST-P-HBM,INST-C-SKH,global,2025-01-01,,verified,,SR-05|SR-12,EV-12,SK hynix生产HBM
REL-14,EXEC-MEM-CYCLE-20260715-1,IR-R-04,,facilityOperatedBy,INST-F-MU-TONG,INST-C-MU,Taiwan,2026-03-01,,verified,,SR-01|SR-02,EV-06,Micron运营Tongluo设施
REL-15,EXEC-MEM-CYCLE-20260715-1,IR-R-04,,facilityOperatedBy,INST-F-MU-SG,INST-C-MU,Singapore,2025-01-01,,verified,,SR-01|SR-02,EV-06,Micron运营Singapore HBM封装设施
REL-16,EXEC-MEM-CYCLE-20260715-1,IR-R-05,,facilityProducesProduct,INST-F-MU-TONG,INST-P-DRAM,future DRAM/HBM wafer output,2027-06-01,,planned,,SR-01|SR-02,EV-06,未来能力；尚未构成实际供给观测
REL-17,EXEC-MEM-CYCLE-20260715-1,IR-R-05,,facilityProducesProduct,INST-F-MU-SG,INST-P-HBM,future advanced packaging capacity,2027-01-01,,planned,,SR-01|SR-02,EV-06,未来能力；尚未构成实际供给观测
