input_id,execution_id,requirement_id,linked_judgment_unit_ids,state_binding_ref,observation_requirement_ref,input_type,target_instance_id,anchor_instance_type,primary_state_variable_id,supports_state_variable_ids,evidence_profile_refs,event_type,raw_value,raw_unit,normalized_value,normalized_unit,currency,direction,value_type,data_granularity,is_forward_looking,business_time_start,business_time_end,publication_time,scope,statement_nature,verification_status,source_run_refs,evidence_refs,transformation_ref,notes
RI-01,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-01,JU-01|JU-04,SB-01,OR-01,policy_fact,INS-CONTROL,EventGroup,SV-01,SV-01,EP-POLICY-01,export_control,2022至2024历次规则定向收紧设备软件实体与规避路径,文本,现行控制强度上升,text,,tightening,reported_fact,event,false,2022-10-07,2026-07-10,2024-12-02,美国对华设备规则,reported_fact,verified,SR-001|SR-002|SR-003,EV-01|EV-02|EV-03,none,三轮规则分开冻结
RI-02,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-02,JU-01|JU-04,SB-08,OR-08,policy_event,INS-CONTROL,EventGroup,SV-08,SV-08,EP-POLICY-GATE-01,effective_status,VEU变化已生效而附属实体规则预定2026年11月10日恢复,日期,当前与未来跟踪变量分开,text,,future_gate,reported_fact,event,true,2025-12-31,2027-07-09,2025-11-12,许可与附属实体规则,rule_text,verified,SR-004|SR-005,EV-04|EV-05,none,未来条款不计当前基线
RI-03,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-02,JU-01|JU-04,SB-01,OR-01,enforcement_event,INS-CONTROL,EventGroup,SV-01,SV-01,EP-POLICY-01,enforcement,应用材料相关处罚约2.52亿美元,百万美元,252,USD_million,USD,tightening,data_point,event,false,2021-01-01,2026-02-12,2026-02-12,设备出口执法,reported_fact,verified,SR-006,EV-06,none,证明现实执行成本
RI-04,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-03,JU-01|JU-04,SB-02,OR-02,foreign_supply,INS-INDUSTRY,Industry,SV-02,SV-02,EP-SUPPLY-COUNTER-01,china_supply,KLA收入占比仍显著且Axcelis多数客户可发货并且ASML中国DUV强于预期,混合,部分成熟设备供给仍在,text,,counter,reported_fact,cross_section,false,2023-01-01,2025-12-31,2026-02-25,海外设备在华供给,financial_data,verified,SR-007|SR-008|SR-009,EV-07|EV-08|EV-09,none,反面证据否定全面禁运
RI-05,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-04,JU-02|JU-04,SB-03,OR-03,demand_actual,INS-INDUSTRY,Industry,SV-03,SV-03,EP-DEMAND-01,equipment_demand,中国2025设备销售493亿美元同比下降0.5%且华虹利用率高位,十亿美元,49.3,USD_billion,USD,flat,data_point,regional_annual,false,2025-01-01,2025-12-31,2026-04-07,中国设备需求,financial_data,verified,SR-010|SR-012,EV-10|EV-12,none,需求高位平台
RI-06,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-04,JU-02|JU-04,SB-03,OR-03,demand_forecast,INS-INDUSTRY,Industry,SV-03,SV-03,EP-DEMAND-01,equipment_forecast,全球设备销售2025至2027为1330|1450|1560亿美元且中国领先但趋缓,十亿美元,133|145|156,USD_billion,USD,moderating,forecast,time_series,true,2025-01-01,2027-12-31,2025-12-16,全球和中国设备需求,forecast,verified,SR-011,EV-11,none,预测会修订
RI-07,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-05|ER-06,JU-02|JU-03|JU-04,SB-04|SB-07,OR-04|OR-07,industry_scale,INS-INDUSTRY,Industry,SV-04,SV-04|SV-07,EP-COMMERCIALIZATION-01,shipment,十余家设备公司2024出货超16000台且营收增长38.8%,台,16000|38.8,count|percent,,support,data,cross_section,false,2024-01-01,2024-12-31,2025-04-30,国产设备样本,financial_data,verified,SR-013,EV-13,none,规模化基础
RI-08,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-05|ER-06|ER-07,JU-02|JU-03|JU-04,SB-04|SB-05|SB-07,OR-04|OR-05|OR-07,company_actual,INS-NAURA,Company,SV-05,SV-04|SV-05|SV-07,EP-FINANCIAL-01,revenue,北方华创营收393.53亿元同比30.85%且集成电路设备收入同比超50%但毛利下降,亿元,393.53|30.85,CNY_100m|percent,CNY,positive,financial_data,company_annual,false,2025-01-01,2025-12-31,2026-04-18,平台设备公司,financial_data,verified,SR-014,EV-14,none,增长和质量并看
RI-09,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-05|ER-06,JU-02|JU-03|JU-04,SB-04|SB-07,OR-04|OR-07,repeat_order,INS-AMEC,Company,SV-04,SV-04|SV-07,EP-COMMERCIALIZATION-01,repeat_order,中微LPCVD和ALD获大批量重复订单且拓荆混合键合获批量订单,文本,沉积与先进封装复购证据,text,,positive,reported_fact,product,false,2025-01-01,2025-12-31,2026-04-27,沉积和先进封装,management_statement,verified,SR-015|SR-016,EV-15|EV-16,none,客户台数未披露
RI-10,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-08,JU-03|JU-04,SB-06,OR-06,upstream_risk,INS-ACM,Company,SV-06,SV-06,EP-UPSTREAM-01,entity_list,美国部件和软件受限且替代部件需客户再认证,文本,上游依赖形成反向约束,text,,negative,risk_factor,company,false,2024-12-02,2025-12-31,2026-02-26,清洗电镀设备,risk_factor,verified,SR-017,EV-17,none,公司称可管理但需验证
