relation_id,execution_id,relation_type,source_evidence_id,target_evidence_id,relation_role,relation_scope,status,notes
REL-MEM-001,EXEC-MEM-CYCLE-20260713-1,claimCitesSource,CL-MEM-001,SD-MEM-001,source,prepared remarks,active,
REL-MEM-002,EXEC-MEM-CYCLE-20260713-1,factSupportedByClaim,EF-MEM-001,CL-MEM-001,primary,HBM,active,
REL-MEM-003,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,SD-MEM-001,context,分产品周期,active,
REL-MEM-004,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,CL-MEM-001,support,分产品周期,active,
REL-MEM-005,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,EF-MEM-001,support,分产品周期,active,
REL-MEM-006,EXEC-MEM-CYCLE-20260713-1,claimCitesSource,CL-MEM-002,SD-MEM-001,source,Micron realized pricing,active,
REL-MEM-007,EXEC-MEM-CYCLE-20260713-1,claimCitesSource,CL-MEM-003,SD-MEM-001,source,Micron strategic customer agreements,active,
REL-MEM-008,EXEC-MEM-CYCLE-20260713-1,claimCitesSource,CL-MEM-004,SD-MEM-002,source,Samsung memory demand and supply,active,
REL-MEM-009,EXEC-MEM-CYCLE-20260713-1,claimCitesSource,CL-MEM-005,SD-MEM-003,source,SK hynix product mix and earnings,active,
REL-MEM-010,EXEC-MEM-CYCLE-20260713-1,claimCitesSource,CL-MEM-006,SD-MEM-004,source,industry contract price outlook,active,
REL-MEM-011,EXEC-MEM-CYCLE-20260713-1,factSupportedByClaim,EF-MEM-002,CL-MEM-002,primary,DRAM realized pricing,active,
REL-MEM-012,EXEC-MEM-CYCLE-20260713-1,factSupportedByClaim,EF-MEM-003,CL-MEM-002,primary,NAND realized pricing,active,
REL-MEM-013,EXEC-MEM-CYCLE-20260713-1,factSupportedByClaim,EF-MEM-004,CL-MEM-003,primary,DRAM contracted volume,active,
REL-MEM-014,EXEC-MEM-CYCLE-20260713-1,factSupportedByClaim,EF-MEM-005,CL-MEM-003,primary,NAND contracted volume,active,
REL-MEM-015,EXEC-MEM-CYCLE-20260713-1,factSupportedByClaim,EF-MEM-006,CL-MEM-006,primary,DRAM contract price estimate,active,
REL-MEM-016,EXEC-MEM-CYCLE-20260713-1,factSupportedByClaim,EF-MEM-007,CL-MEM-006,primary,NAND contract price estimate,active,
REL-MEM-017,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,SD-MEM-002,context,分产品周期,active,
REL-MEM-018,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,SD-MEM-003,context,分产品周期,active,
REL-MEM-019,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,SD-MEM-004,context,分产品周期,active,
REL-MEM-020,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,CL-MEM-002,support,价格阶段,active,
REL-MEM-021,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,CL-MEM-003,support,订单可见度,active,
REL-MEM-022,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,CL-MEM-004,support,供需状态,active,
REL-MEM-023,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,CL-MEM-005,support,产品分化,active,
REL-MEM-024,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,CL-MEM-006,support,价格阶段,active,
REL-MEM-025,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,EF-MEM-002,support,DRAM实现价,active,
REL-MEM-026,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,EF-MEM-003,support,NAND实现价,active,
REL-MEM-027,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,EF-MEM-004,support,DRAM长约覆盖,active,
REL-MEM-028,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,EF-MEM-005,support,NAND长约覆盖,active,
REL-MEM-029,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,EF-MEM-006,support,DRAM合约价,active,
REL-MEM-030,EXEC-MEM-CYCLE-20260713-1,assessmentEvaluatesEvidence,EA-MEM-001,EF-MEM-007,support,NAND合约价,active,
