source_run_id,execution_id,source_id,source_name,source_profile_id,source_group_id,independence_group_id,source_type,source_tier,source_status_at_run,acquisition_channel_id,recipe_id,content_domain_tags,access_mode,access_permission_status,usage_restriction,requested_at,retrieved_at,publication_time,business_time_start,business_time_end,source_locator,raw_artifact_ref,content_hash,retrieval_status,quality_status,directness,traceability,independence,time_relevance,scope_match,license_scope,notes
SR-01,EXEC-MEM-CYCLE-20260707-1,SRC-01,Micron FY2026 Q3 Earnings Call Prepared Remarks,SP-COMPANY-DISCLOSURE,SRC-01,SRC-01,company_results,S2,active,AC-PUBLIC-WEB,R-MEM-PRICE/v0.1,R-MEM-PRICE/v0.1,public_web,public_access,PDF可直接定位页码和行；公司展望标记为forward-looking,2026-07-07T14:36:00+08:00,2026-07-07T14:36:05+08:00,2026-06-24T00:00:00-06:00,2026-02-28,2026-05-28,https://investors.micron.com/static-files/631b1a32-5537-46ae-8f40-82e42fc79dfe,https://investors.micron.com/static-files/631b1a32-5537-46ae-8f40-82e42fc79dfe,,success,high,direct,fully_traceable,same_origin,current,matched,public_research_use,PDF可直接定位页码和行；公司展望标记为forward-looking
SR-02,EXEC-MEM-CYCLE-20260707-1,SRC-02,Micron Form 10-Q filed 2026-06-25,SP-COMPANY-DISCLOSURE,SRC-02,SRC-02,company_filing,S2,active,AC-PUBLIC-WEB,R-MEM-CAPEX/v0.1,R-MEM-CAPEX/v0.1,public_web,public_access,监管文件；设施时间表可定位,2026-07-07T14:36:00+08:00,2026-07-07T14:36:06+08:00,2026-06-25T00:00:00-06:00,2026-02-28,2026-05-28,https://investors.micron.com/static-files/23023765-dfef-4e7e-845b-cd744fc20d93,https://investors.micron.com/static-files/23023765-dfef-4e7e-845b-cd744fc20d93,,success,high,direct,fully_traceable,same_origin,current,matched,public_research_use,监管文件；设施时间表可定位
SR-03,EXEC-MEM-CYCLE-20260707-1,SRC-03,Samsung Electronics First Quarter 2026 Results,SP-COMPANY-DISCLOSURE,SRC-03,SRC-03,company_results,S2,active,AC-PUBLIC-WEB,R-MEM-DEMAND/v0.1,R-MEM-DEMAND/v0.1,public_web,public_access,公司业绩新闻稿；需求展望标记为预测,2026-07-07T14:31:00+08:00,2026-07-07T14:31:05+08:00,2026-04-30T00:00:00+09:00,2026-01-01,2026-03-31,https://news.samsungsemiconductor.com/global/samsung-electronics-announces-first-quarter-2026-results/,https://news.samsungsemiconductor.com/global/samsung-electronics-announces-first-quarter-2026-results/,,success,high,direct,fully_traceable,same_origin,current,matched,public_research_use,公司业绩新闻稿；需求展望标记为预测
SR-04,EXEC-MEM-CYCLE-20260707-1,SRC-04,SK hynix 1Q26 Financial Results,SP-COMPANY-DISCLOSURE,SRC-04,SRC-04,company_results,S2,active,AC-PUBLIC-WEB,R-MEM-DEMAND/v0.1,R-MEM-DEMAND/v0.1,public_web,public_access,搜索索引可定位但直连403；只采用可核验摘要并以其他来源交叉,2026-07-07T14:42:00+08:00,2026-07-07T14:42:04+08:00,2026-04-22T00:00:00+09:00,2026-01-01,2026-03-31,https://news.skhynix.com/q1-2026-business-results/,https://news.skhynix.com/q1-2026-business-results/,,partial,medium,direct,fully_traceable,same_origin,current,matched,public_research_use,搜索索引可定位但直连403；只采用可核验摘要并以其他来源交叉
SR-05,EXEC-MEM-CYCLE-20260707-1,SRC-05,SK hynix FY2025 Financial Results,SP-COMPANY-DISCLOSURE,SRC-05,SRC-05,company_results,S2,active,AC-PUBLIC-WEB,R-MEM-DEMAND/v0.1,R-MEM-DEMAND/v0.1,public_web,public_access,官方页面；用于HBM/服务器DRAM/NAND需求与产能计划,2026-07-07T14:48:00+08:00,2026-07-07T14:48:04+08:00,2026-01-28T00:00:00+09:00,2025-01-01,2025-12-31,https://news.skhynix.com/sk-hynix-announces-fy25-financial-results/,https://news.skhynix.com/sk-hynix-announces-fy25-financial-results/,,success,high,direct,fully_traceable,same_origin,current,matched,public_research_use,官方页面；用于HBM/服务器DRAM/NAND需求与产能计划
SR-06,EXEC-MEM-CYCLE-20260707-1,SRC-06,TrendForce 2Q26 DRAM and NAND Contract Price Outlook,SP-PUBLIC-WEB,SRC-06,SRC-06,industry_price_survey,S3,active,AC-PUBLIC-WEB,R-MEM-PRICE/v0.1,R-MEM-PRICE/v0.1,public_web,public_access,行业调查；价格为预测，产能配置为调查判断,2026-07-07T14:39:00+08:00,2026-07-07T14:39:05+08:00,2026-03-31T00:00:00+08:00,2026-04-01,2026-06-30,https://www.trendforce.com/presscenter/news/20260331-12995.html,https://www.trendforce.com/presscenter/news/20260331-12995.html,,success,medium,indirect,fully_traceable,independent,current,matched,public_research_use,行业调查；价格为预测，产能配置为调查判断
SR-07,EXEC-MEM-CYCLE-20260707-1,SRC-07,TrendForce 1Q26 DRAM Industry Results,SP-PUBLIC-WEB,SRC-07,SRC-07,industry_price_survey,S3,active,AC-PUBLIC-WEB,R-MEM-PRICE/v0.1,R-MEM-PRICE/v0.1,public_web,public_access,行业调查；含实际季度合约价与供应商库存方向,2026-07-07T14:39:00+08:00,2026-07-07T14:39:06+08:00,2026-06-01T00:00:00+08:00,2026-01-01,2026-03-31,https://www.trendforce.com/presscenter/news/20260601-13070.html,https://www.trendforce.com/presscenter/news/20260601-13070.html,,success,medium,indirect,fully_traceable,independent,current,matched,public_research_use,行业调查；含实际季度合约价与供应商库存方向
SR-08,EXEC-MEM-CYCLE-20260707-1,SRC-08,TrendForce HBM 2027 Supply and Pricing Outlook,SP-PUBLIC-WEB,SRC-08,SRC-08,industry_research,S3,active,AC-PUBLIC-WEB,R-MEM-SUPPLY/v0.1,R-MEM-SUPPLY/v0.1,public_web,public_access,行业研究预测；HBM年度合同和晶圆占用数据,2026-07-07T14:51:00+08:00,2026-07-07T14:51:05+08:00,2026-06-02T00:00:00+08:00,2026-01-01,2027-12-31,https://www.trendforce.com/presscenter/news/20260602-13074.html,https://www.trendforce.com/presscenter/news/20260602-13074.html,,success,medium,indirect,fully_traceable,independent,current,matched,public_research_use,行业研究预测；HBM年度合同和晶圆占用数据
SR-09,EXEC-MEM-CYCLE-20260707-1,SRC-09,TrendForce Agentic AI Memory Market Outlook,SP-PUBLIC-WEB,SRC-09,SRC-09,industry_research,S3,active,AC-PUBLIC-WEB,R-MEM-DEMAND/v0.1,R-MEM-DEMAND/v0.1,public_web,public_access,行业预测；用于AI推理需求与2027持续性,2026-07-07T14:39:00+08:00,2026-07-07T14:39:07+08:00,2026-05-29T00:00:00+08:00,2026-01-01,2027-12-31,https://www.trendforce.com/presscenter/news/20260529-13068.html,https://www.trendforce.com/presscenter/news/20260529-13068.html,,success,medium,indirect,fully_traceable,independent,current,matched,public_research_use,行业预测；用于AI推理需求与2027持续性
SR-10,EXEC-MEM-CYCLE-20260707-1,SRC-10,WSTS Spring 2026 Semiconductor Market Forecast,SP-PUBLIC-WEB,SRC-10,SRC-10,industry_statistics,S3,active,AC-PUBLIC-WEB,R-MEM-DEMAND/v0.1,R-MEM-DEMAND/v0.1,public_web,public_access,行业协会预测；收入而非bit供需,2026-07-07T14:39:00+08:00,2026-07-07T14:39:08+08:00,2026-06-24T00:00:00+00:00,2026-01-01,2027-12-31,https://www.wsts.org/esraCMS/extension/esrapdf/generate/105,https://www.wsts.org/esraCMS/extension/esrapdf/generate/105,,success,high,indirect,fully_traceable,independent,current,matched,public_research_use,行业协会预测；收入而非bit供需
