instance_id,execution_id,requirement_id,linked_judgment_unit_ids,instance_type,name,canonical_name,stable_identifier,classification,scope,valid_from,valid_to,verification_status,source_run_refs,evidence_refs,notes
INST-IND-MEM,EXEC-MEM-CYCLE-20260713-1,IR-O-06,,Industry,全球存储芯片产业,Global Memory Semiconductor Industry,industry:global_memory_semiconductor,semiconductor_memory,global,2025-01-01,,verified,SR-01|SR-03|SR-05|SR-10,EV-01|EV-08,行业范围实例
INST-SEG-MEM,EXEC-MEM-CYCLE-20260713-1,IR-O-05,,Segment,存储芯片设计与制造,Memory Design and Manufacturing,segment:memory_design_manufacturing,memory_value_chain,global,2025-01-01,,verified,SR-01|SR-03|SR-05,EV-01|EV-02,承接DRAM/NAND/HBM产品环节
INST-P-HBM,EXEC-MEM-CYCLE-20260713-1,IR-O-01,,Product,HBM,High Bandwidth Memory,product:hbm,DRAM_high_bandwidth,global,2025-01-01,,verified,SR-01|SR-03|SR-05|SR-08|SR-12,EV-01|EV-09|EV-12,按HBM3E/HBM4代际差异在输入中说明
INST-P-DRAM,EXEC-MEM-CYCLE-20260713-1,IR-O-01,,Product,通用DRAM,Conventional DRAM,product:conventional_dram,DRAM_conventional,global,2025-01-01,,verified,SR-01|SR-03|SR-05|SR-06|SR-07,EV-02|EV-04|EV-05,含服务器、PC、手机等非HBM DRAM
INST-P-NAND,EXEC-MEM-CYCLE-20260713-1,IR-O-01,,Product,NAND Flash,NAND Flash,product:nand_flash,NAND,global,2025-01-01,,verified,SR-01|SR-03|SR-05|SR-06|SR-09,EV-02|EV-07,按企业SSD与消费应用在输入中拆分
INST-AI-DC,EXEC-MEM-CYCLE-20260713-1,IR-O-02,,Application,AI数据中心与加速计算,AI Data Center and Accelerated Computing,application:ai_datacenter,AI_HPC,global,2025-01-01,,verified,SR-01|SR-03|SR-05|SR-08|SR-09|SR-10,EV-01|EV-08|EV-09,AI训练与推理
INST-APP-SERVER,EXEC-MEM-CYCLE-20260713-1,IR-O-02,,Application,通用服务器,General Purpose Server,application:general_server,server,global,2025-01-01,,verified,SR-01|SR-03|SR-09,EV-01|EV-09,服务器DRAM与企业SSD需求
INST-APP-CONS,EXEC-MEM-CYCLE-20260713-1,IR-O-02,,Application,PC与智能手机,PC and Smartphone,application:pc_smartphone,consumer_electronics,global,2025-01-01,,verified,SR-01|SR-03|SR-06|SR-11,EV-06|EV-11,需求破坏和配置调整观察对象
INST-C-MU,EXEC-MEM-CYCLE-20260713-1,IR-O-03,,Company,Micron Technology,Micron Technology Inc.,company:NASDAQ_MU,memory_manufacturer,global,2025-01-01,,verified,SR-01|SR-02,EV-01|EV-02|EV-03|EV-06,原厂披露主体
INST-C-SS,EXEC-MEM-CYCLE-20260713-1,IR-O-03,,Company,Samsung Electronics,Samsung Electronics Co. Ltd.,company:KRX_005930,memory_manufacturer,global,2025-01-01,,verified,SR-03,EV-10,原厂披露主体
INST-C-SKH,EXEC-MEM-CYCLE-20260713-1,IR-O-03,,Company,SK hynix,SK hynix Inc.,company:KRX_000660,memory_manufacturer,global,2025-01-01,,verified,SR-04|SR-05|SR-12,EV-12|EV-13,原厂披露主体
INST-F-MU-TONG,EXEC-MEM-CYCLE-20260713-1,IR-O-04,,ManufacturingFacility,Micron Tongluo Fab,Micron Tongluo Fab,facility:micron_tongluo,wafer_fab,Taiwan,2026-03-01,,verified,SR-01|SR-02,EV-06,预计2027年中开始有意义出货
INST-F-MU-SG,EXEC-MEM-CYCLE-20260713-1,IR-O-04,,ManufacturingFacility,Micron Singapore HBM Advanced Packaging Facility,Micron Singapore HBM Advanced Packaging Facility,facility:micron_singapore_hbm_packaging,advanced_packaging,Singapore,2025-01-01,,verified,SR-01|SR-02,EV-06,预计2027H1起对HBM封装产能有意义贡献
