relation_id,execution_id,relation_type,source_evidence_id,target_evidence_id,relation_role,relation_scope,status,notes
REL-CS-EV-01,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-01,SRC-BIS-2022,source,官方规则页,active,
REL-FC-EV-01,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-01,CL-EV-01,primary,,active,
REL-CS-EV-02,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-02,SRC-BIS-2023,source,官方更新页,active,
REL-FC-EV-02,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-02,CL-EV-02,primary,,active,
REL-CS-EV-03,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-03,SRC-BIS-2024,source,官方更新页,active,
REL-FC-EV-03,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-03,CL-EV-03,primary,,active,
REL-CS-EV-04,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-04,SRC-BIS-VEU,source,官方页,active,
REL-FC-EV-04,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-04,CL-EV-04,primary,,active,
REL-CS-EV-05,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-05,SRC-BIS-AFFIL,source,Federal Register,active,
REL-FC-EV-05,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-05,CL-EV-05,primary,,active,
REL-CS-EV-06,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-06,SRC-BIS-PENALTY,source,官方处罚页,active,
REL-FC-EV-06,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-06,CL-EV-06,primary,,active,
REL-CS-EV-07,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-07,SRC-KLA-2025,source,SEC年报,active,
REL-FC-EV-07,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-07,CL-EV-07,primary,,active,
REL-CS-EV-08,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-08,SRC-AXCELIS-2025,source,SEC年报,active,
REL-FC-EV-08,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-08,CL-EV-08,primary,,active,
REL-CS-EV-09,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-09,SRC-ASML-2025,source,公司年报,active,
REL-FC-EV-09,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-09,CL-EV-09,primary,,active,
REL-CS-EV-10,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-10,SRC-SEMI-BILLINGS,source,SEMI统计,active,
REL-FC-EV-10,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-10,CL-EV-10,primary,,active,
REL-CS-EV-11,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-11,SRC-SEMI-FORECAST,source,SEMI预测,active,
REL-FC-EV-11,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-11,CL-EV-11,primary,,active,
REL-CS-EV-12,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-12,SRC-HUAHONG-2025,source,港交所年报,active,
REL-FC-EV-12,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-12,CL-EV-12,primary,,active,
REL-CS-EV-13,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-13,SRC-SSE-2024,source,上交所汇总,active,
