relation_id,execution_id,relation_type,source_evidence_id,target_evidence_id,relation_role,relation_scope,status,notes
REL-MEM-001,EXEC-MEM-CYCLE-20260715-1,claimCitesSource,CL-MEM-001,SD-MEM-001,source,prepared remarks,active,
REL-MEM-002,EXEC-MEM-CYCLE-20260715-1,factDerivedFromClaim,EF-MEM-001,CL-MEM-001,primary,HBM,active,
REL-MEM-005,EXEC-MEM-CYCLE-20260715-1,assessmentEvaluatesFact,EA-MEM-001,EF-MEM-001,support,分产品周期,active,
REL-MEM-006,EXEC-MEM-CYCLE-20260715-1,claimCitesSource,CL-MEM-002,SD-MEM-001,source,Micron realized pricing,active,
REL-MEM-007,EXEC-MEM-CYCLE-20260715-1,claimCitesSource,CL-MEM-003,SD-MEM-001,source,Micron strategic customer agreements,active,
REL-MEM-008,EXEC-MEM-CYCLE-20260715-1,claimCitesSource,CL-MEM-004,SD-MEM-002,source,Samsung memory demand and supply,active,
REL-MEM-009,EXEC-MEM-CYCLE-20260715-1,claimCitesSource,CL-MEM-005,SD-MEM-003,source,SK hynix product mix and earnings,active,
REL-MEM-010,EXEC-MEM-CYCLE-20260715-1,claimCitesSource,CL-MEM-006,SD-MEM-004,source,industry contract price outlook,active,
REL-MEM-011,EXEC-MEM-CYCLE-20260715-1,factDerivedFromClaim,EF-MEM-002,CL-MEM-002,primary,DRAM realized pricing,active,
REL-MEM-012,EXEC-MEM-CYCLE-20260715-1,factDerivedFromClaim,EF-MEM-003,CL-MEM-002,primary,NAND realized pricing,active,
REL-MEM-013,EXEC-MEM-CYCLE-20260715-1,factDerivedFromClaim,EF-MEM-004,CL-MEM-003,primary,DRAM contracted volume,active,
REL-MEM-014,EXEC-MEM-CYCLE-20260715-1,factDerivedFromClaim,EF-MEM-005,CL-MEM-003,primary,NAND contracted volume,active,
REL-MEM-015,EXEC-MEM-CYCLE-20260715-1,factDerivedFromClaim,EF-MEM-006,CL-MEM-006,primary,DRAM contract price estimate,active,
REL-MEM-016,EXEC-MEM-CYCLE-20260715-1,factDerivedFromClaim,EF-MEM-007,CL-MEM-006,primary,NAND contract price estimate,active,
REL-MEM-025,EXEC-MEM-CYCLE-20260715-1,assessmentEvaluatesFact,EA-MEM-001,EF-MEM-002,support,DRAM实现价,active,
REL-MEM-026,EXEC-MEM-CYCLE-20260715-1,assessmentEvaluatesFact,EA-MEM-001,EF-MEM-003,support,NAND实现价,active,
REL-MEM-027,EXEC-MEM-CYCLE-20260715-1,assessmentEvaluatesFact,EA-MEM-001,EF-MEM-004,support,DRAM长约覆盖,active,
REL-MEM-028,EXEC-MEM-CYCLE-20260715-1,assessmentEvaluatesFact,EA-MEM-001,EF-MEM-005,support,NAND长约覆盖,active,
REL-MEM-029,EXEC-MEM-CYCLE-20260715-1,assessmentEvaluatesFact,EA-MEM-001,EF-MEM-006,support,DRAM合约价,active,
REL-MEM-030,EXEC-MEM-CYCLE-20260715-1,assessmentEvaluatesFact,EA-MEM-001,EF-MEM-007,support,NAND合约价,active,
REL-MEM-031,EXEC-MEM-CYCLE-20260715-1,claimCitesSource,CL-MEM-007,SD-MEM-005,source,服务器DRAM价格与库存,active,
REL-MEM-032,EXEC-MEM-CYCLE-20260715-1,factDerivedFromClaim,EF-MEM-008,CL-MEM-007,normalized,服务器DRAM价格涨幅,active,
REL-MEM-034,EXEC-MEM-CYCLE-20260715-1,assessmentEvaluatesFact,EA-MEM-001,EF-MEM-008,support,服务器DRAM价格涨幅,active,
