evidence_id,execution_id,requirement_id,linked_judgment_unit_ids,source_run_id,source_id,source_date,source_locator,claim_text,statement_nature,normalized_fact,fact_status,evidence_role,grounds_input_ids,evidence_profile_refs,state_variable_ids,quality_status,source_authority,directness,traceability,independence,independence_group_id,time_relevance,scope_match,conflict_status,conflict_group_id,counter_evidence_flag,quote_ref,notes,evidence_basket_ids,direct_scope_ref,maximum_generalization_scope_ref,scope_relation_to_requirement
EV-01,EXEC-MEM-CYCLE-20260715-1,ER-01|ER-03,JU-01|JU-02,SR-01,SRC-01,2026-06-24,https://investors.micron.com/static-files/631b1a32-5537-46ae-8f40-82e42fc79dfe,Micron expects supply-demand conditions for both DRAM and NAND to remain tight beyond calendar 2027,forecast,DRAM/NAND tight beyond 2027 according to Micron,,primary_support,RI-01|RI-11,demand_orders|capacity_supply,end_market_demand_strength|supply_availability,usable_with_caveat,primary,direct,fully_traceable,same_origin,SRC-01,current,matched,managed,CG-SUPPLY-2027,false,,供应商利益相关；与TrendForce/WSTS交叉,EB-JU-01|EB-JU-02,SCOPE-HBM,SCOPE-HBM,overlap
EV-02,EXEC-MEM-CYCLE-20260715-1,ER-05,JU-05,SR-01,SRC-01,2026-06-24,https://investors.micron.com/static-files/631b1a32-5537-46ae-8f40-82e42fc79dfe,FQ3 DRAM price low-60s QoQ with low-single-digit bit growth; NAND price mid-80s with mid-single-digit bit growth,data_point,Micron quarterly revenue growth was overwhelmingly price-led for DRAM and NAND,,primary_support,RI-08|RI-09|RI-48|RI-49,pricing_economics,product_price_pressure|pricing_power,usable,primary,direct,fully_traceable,partially_independent,SRC-01,current,partially_matched,managed,CG-PRICE,false,,实现价含产品组合影响,EB-JU-05,SCOPE-SERVER-DRAM,SCOPE-SERVER-DRAM,same
EV-03,EXEC-MEM-CYCLE-20260715-1,CER-03,JU-05|JU-07,SR-01,SRC-01,2026-06-24,https://investors.micron.com/static-files/631b1a32-5537-46ae-8f40-82e42fc79dfe,FQ4 gross-margin outlook reflects a meaningful moderation in the rate of price increases,forecast,price increase rate likely moderates next quarter,,counter_evidence,RI-10,pricing_economics,product_price_pressure|pricing_power,usable_with_caveat,primary,direct,fully_traceable,same_origin,SRC-01,current,partially_matched,managed,CG-PRICE,false,,只削弱涨价加速度，不阻断绝对价格上行,EB-JU-05|EB-JU-07,SCOPE-SERVER-DRAM,SCOPE-SERVER-DRAM,overlap
EV-04,EXEC-MEM-CYCLE-20260715-1,ER-05,JU-01|JU-05,SR-07,SRC-07,2026-06-01,https://www.trendforce.com/presscenter/news/20260601-13070.html,1Q26 conventional DRAM contract prices rose about 93%-98% QoQ,data_point,1Q26 conventional DRAM had an exceptional contract-price surge,,primary_support,RI-06,pricing_economics,product_price_pressure,usable,informed_secondary,indirect,fully_traceable,independent,SRC-07,current,matched,managed,CG-PRICE,false,,行业调查实际季度结果,EB-JU-01|EB-JU-05,SCOPE-SERVER-DRAM,SCOPE-SERVER-DRAM,overlap
EV-05,EXEC-MEM-CYCLE-20260715-1,ER-03|ER-04,JU-01|JU-07,SR-07,SRC-07,2026-06-01,https://www.trendforce.com/presscenter/news/20260601-13070.html,DRAM supplier inventories remained extremely low in 2Q26 and incremental supply prioritized high-capacity server RDIMMs,estimate,supplier inventory low and allocation favors server DRAM,,primary_support,RI-05,inventory_cycle,inventory_cycle_position|inventory_buffer_capacity,usable,informed_secondary,indirect,fully_traceable,independent,SRC-07,current,matched,managed,CG-INVENTORY,false,,缺定量库存和下游层级,EB-JU-01|EB-JU-07,SCOPE-MEMORY-INDUSTRY,SCOPE-MEMORY-INDUSTRY,same
EV-06,EXEC-MEM-CYCLE-20260715-1,ER-06,JU-06,SR-02,SRC-02,2026-06-25,https://investors.micron.com/static-files/23023765-dfef-4e7e-845b-cd744fc79dfe,Tongluo meaningful shipments expected mid-2027; Singapore HBM packaging capacity expected to contribute from 1H27,forecast,Micron incremental wafer and HBM packaging supply begins contributing in 2027,,primary_support,RI-12,capacity_supply,capacity_expansion_progress|supply_availability,usable_with_caveat,primary,direct,fully_traceable,same_origin,SRC-02,current,matched,managed,CG-SUPPLY-2027,false,,未来时间表，良率认证未发生,EB-JU-06,SCOPE-MEMORY-SUPPLY,SCOPE-MEMORY-SUPPLY,same
EV-07,EXEC-MEM-CYCLE-20260715-1,ER-06,JU-04|JU-06,SR-06,SRC-06,2026-03-31,https://www.trendforce.com/presscenter/news/20260331-12995.html,Meaningful enterprise SSD capacity expansion is unlikely until late 2027 or 2028,forecast,NAND enterprise-SSD capacity relief likely no earlier than late-2027,,primary_support,RI-13,capacity_supply,supply_elasticity|supply_availability,usable_with_caveat,informed_secondary,indirect,fully_traceable,independent,SRC-06,usable_with_lag,matched,managed,CG-SUPPLY-2027,false,,预测；需滚动验证,EB-JU-04|EB-JU-06,SCOPE-MEMORY-INDUSTRY,SCOPE-MEMORY-INDUSTRY,broader
EV-08,EXEC-MEM-CYCLE-20260715-1,ER-01,,SR-10,SRC-10,2026-06-24,https://www.wsts.org/esraCMS/extension/esrapdf/generate/105,WSTS forecasts Memory revenue around +250% in 2026 and +32% in 2027,forecast,memory market revenue expansion remains strong through 2027,,primary_support,RI-15,demand_orders,end_market_demand_strength,usable_with_caveat,authoritative_secondary,indirect,fully_traceable,independent,SRC-10,current,matched,managed,CG-DEMAND,false,,收入增长受价格影响，不等同bit demand,,SCOPE-MEMORY-INDUSTRY,SCOPE-MEMORY-INDUSTRY,overlap
EV-09,EXEC-MEM-CYCLE-20260715-1,ER-01|ER-03|ER-05|ER-06|CER-03,JU-02|JU-03,SR-08,SRC-08,2026-06-02,https://www.trendforce.com/presscenter/news/20260602-13074.html,HBM demand remains strong through 2026-2027; HBM wafer-input share rises to about 22% in 2026 and 30% in 2027,forecast,HBM demand and wafer crowd-out intensify into 2027,,primary_support,RI-14,capacity_supply,supply_elasticity,usable_with_caveat,informed_secondary,indirect,fully_traceable,independent,SRC-08,current,matched,managed,CG-HBM,false,,HBM年度合同价格可能与紧张度错位,EB-JU-02|EB-JU-03,SCOPE-MEMORY-INDUSTRY,SCOPE-MEMORY-INDUSTRY,broader
EV-10,EXEC-MEM-CYCLE-20260715-1,ER-01|ER-03|ER-05,JU-01|JU-02|JU-03,SR-03,SRC-03,2026-04-30,https://news.samsungsemiconductor.com/global/samsung-electronics-announces-first-quarter-2026-results/,Memory business set record revenue/profit amid limited supply and industry-wide price increases; expects strong server-memory demand in H2,reported_fact,Samsung reports limited supply and strong AI/server demand,,primary_support,RI-17,capacity_supply,capacity_tightness|supply_availability,usable_with_caveat,primary,direct,fully_traceable,same_origin,SRC-03,current,matched,managed,CG-DEMAND,false,,事实与公司展望拆分使用,EB-JU-01|EB-JU-02|EB-JU-03,SCOPE-MEMORY-INDUSTRY,SCOPE-MEMORY-INDUSTRY,overlap
EV-11,EXEC-MEM-CYCLE-20260715-1,CER-01,JU-04,SR-11,SRC-11,2026-03-30,https://www.trendforce.com/presscenter/news/20260330-12992.html,2026 notebook shipment forecast revised to -14.8% YoY as high memory cost and weak demand pressure systems,forecast,consumer end-market demand destruction is emerging,,counter_evidence,RI-02,demand_orders,end_market_demand_strength,usable_with_caveat,informed_secondary,indirect,fully_traceable,independent,SRC-11,current,matched,managed,CG-DEMAND,false,,不代表服务器或HBM需求同步下降,EB-JU-04,SCOPE-NAND,SCOPE-NAND,same
EV-12,EXEC-MEM-CYCLE-20260715-1,ER-03|ER-06|CER-02,,SR-12,SRC-12,2026-06-18,https://news.skhynix.com/12-layer-hbm4e-sample/,SK hynix shipped 12-layer HBM4E samples to major customers,reported_fact,HBM4E reached customer sampling but not mass production,,background_evidence,RI-16,manufacturing_yield,yield_maturity,usable,primary,direct,fully_traceable,same_origin,SRC-12,current,matched,managed,CG-HBM,false,,防止把样品当量产,,SCOPE-MEMORY-INDUSTRY,SCOPE-MEMORY-INDUSTRY,overlap
EV-13,EXEC-MEM-CYCLE-20260715-1,ER-01,,SR-05,SRC-05,2026-01-28,https://news.skhynix.com/sk-hynix-announces-fy25-financial-results/,FY2025 HBM revenue more than doubled; conventional server DRAM and eSSD demand strengthened,reported_fact,AI and server memory demand broadened beyond HBM during 2025,,primary_support,RI-18,demand_orders,end_market_demand_strength,usable,primary,direct,fully_traceable,same_origin,SRC-05,usable_with_lag,matched,managed,CG-DEMAND,false,,历史背景，时间相关性低于2026材料,,SCOPE-MEMORY-INDUSTRY,SCOPE-MEMORY-INDUSTRY,overlap
EV-14,EXEC-MEM-CYCLE-20260715-1,ER-02,,SR-01,SRC-01,2026-06-24,https://investors.micron.com/static-files/631b1a32-5537-46ae-8f40-82e42fc79dfe,16 take-or-pay strategic customer agreements cover roughly 20% of Micron DRAM volume and one-third of NAND volume over the term,reported_fact,Micron has multi-year committed demand coverage,,primary_support,RI-03,demand_orders,order_visibility,usable,primary,direct,fully_traceable,same_origin,SRC-01,current,partially_matched,managed,CG-ORDERS,false,,公司特定，不外推全行业,,SCOPE-MEMORY-INDUSTRY,SCOPE-MEMORY-INDUSTRY,overlap
EV-15,EXEC-MEM-CYCLE-20260715-1,ER-04,JU-07,SR-01,SRC-01,2026-06-24,https://investors.micron.com/static-files/631b1a32-5537-46ae-8f40-82e42fc79dfe,Micron ending inventory was $8.6bn and 120 days; DRAM inventories were very tight and below 120 days,data_point,Micron supplier inventory tight,,primary_support,RI-04|RI-38,inventory_cycle,inventory_cycle_position|inventory_buffer_capacity,usable_with_caveat,primary,direct,fully_traceable,same_origin,SRC-01,current,partially_matched,managed,CG-INVENTORY,false,,仅供应商层级,EB-JU-07,SCOPE-MEMORY-INDUSTRY,SCOPE-MEMORY-INDUSTRY,same
