evidence_requirement_id,execution_id,target_judgment_unit_id,target_path_node_id,target_state_variable_id,requirement_purpose,evidence_role,required_evidence_category,required_content_domains,required_object_scope,required_time_scope,required_grain,minimum_quality_level,minimum_source_tier,minimum_independent_source_count,mandatory_basket_ids,counter_basket_ids,allowed_proxy,preferred_source_profile_ids,allowed_acquisition_channel_ids,forbidden_sources,required_freshness,required_traceability,required_comparability,stop_condition,missing_policy,allowed_04_output_if_met,allowed_04_output_if_missing,notes
ER-JU-01,EXEC-MEM-CYCLE-20260713-1,JU-01,N-01|N-02|N-03|N-04,,support,primary_support,company_disclosure|industry_data|counter_evidence,需求|订单库存|有效供给|价格,存储芯片分产品,2025-2028,product|company|quarter,Q3_directional_ready,S3,1,EB-JU-01,EB-JU-01,false,SP-COMPANY-DISCLOSURE|SP-INDUSTRY-DATA,AC-PUBLIC-WEB,不可复核搜索摘要|模型记忆,截至2026-07-13,URL、发布日期和业务期间可追溯,产品、公司、期间和价格口径分开,达到当前判断上限或来源层级耗尽,降级或停止对应判断单元,directional_only,insufficient,当前03计划层按判断单元生成
ER-JU-02,EXEC-MEM-CYCLE-20260713-1,JU-02,N-01|N-02|N-03,,support,primary_support,company_disclosure|industry_data|counter_evidence,需求强度|订单能见度|HBM 供给约束,存储芯片分产品,2025-2028,product|company|quarter,Q3_directional_ready,S3,1,EB-JU-02,EB-JU-02,false,SP-COMPANY-DISCLOSURE|SP-INDUSTRY-DATA,AC-PUBLIC-WEB,不可复核搜索摘要|模型记忆,截至2026-07-13,URL、发布日期和业务期间可追溯,产品、公司、期间和价格口径分开,达到当前判断上限或来源层级耗尽,降级或停止对应判断单元,directional_only,insufficient,当前03计划层按判断单元生成
ER-JU-03,EXEC-MEM-CYCLE-20260713-1,JU-03,N-03|N-04,,support,primary_support,company_disclosure|industry_data|counter_evidence,晶圆占用|封装能力|产品组合|价格口径,存储芯片分产品,2025-2028,product|company|quarter,Q3_directional_ready,S3,1,EB-JU-03,EB-JU-03,false,SP-COMPANY-DISCLOSURE|SP-INDUSTRY-DATA,AC-PUBLIC-WEB,不可复核搜索摘要|模型记忆,截至2026-07-13,URL、发布日期和业务期间可追溯,产品、公司、期间和价格口径分开,达到当前判断上限或来源层级耗尽,降级或停止对应判断单元,conditional_only,insufficient,当前03计划层按判断单元生成
ER-JU-04,EXEC-MEM-CYCLE-20260713-1,JU-04,N-01|N-03|N-04|N-06,,support,primary_support,company_disclosure|industry_data|counter_evidence,NAND 价格|企业级需求|消费端反证|供给释放,存储芯片分产品,2025-2028,product|company|quarter,Q3_directional_ready,S3,1,EB-JU-04,EB-JU-04,false,SP-COMPANY-DISCLOSURE|SP-INDUSTRY-DATA,AC-PUBLIC-WEB,不可复核搜索摘要|模型记忆,截至2026-07-13,URL、发布日期和业务期间可追溯,产品、公司、期间和价格口径分开,达到当前判断上限或来源层级耗尽,降级或停止对应判断单元,directional_only,insufficient,当前03计划层按判断单元生成
ER-JU-05,EXEC-MEM-CYCLE-20260713-1,JU-05,N-04|N-07,,support,primary_support,company_disclosure|industry_data|counter_evidence,连续价格|实现价|合约价|下一季指引,存储芯片分产品,2025-2028,product|company|quarter,Q4_report_grade,S3,1,EB-JU-05,EB-JU-05,false,SP-COMPANY-DISCLOSURE|SP-INDUSTRY-DATA,AC-PUBLIC-WEB,不可复核搜索摘要|模型记忆,截至2026-07-13,URL、发布日期和业务期间可追溯,产品、公司、期间和价格口径分开,达到当前判断上限或来源层级耗尽,降级或停止对应判断单元,full_reasoning_ready,insufficient,当前03计划层按判断单元生成
ER-JU-06,EXEC-MEM-CYCLE-20260713-1,JU-06,N-05|N-07,,support,primary_support,company_disclosure|industry_data|counter_evidence,设施时间表|良率|认证|稳定量产|需求增速,存储芯片分产品,2025-2028,product|company|quarter,Q3_directional_ready,S3,1,EB-JU-06,EB-JU-06,false,SP-COMPANY-DISCLOSURE|SP-INDUSTRY-DATA,AC-PUBLIC-WEB,不可复核搜索摘要|模型记忆,截至2026-07-13,URL、发布日期和业务期间可追溯,产品、公司、期间和价格口径分开,达到当前判断上限或来源层级耗尽,降级或停止对应判断单元,conditional_only,insufficient,当前03计划层按判断单元生成
ER-JU-07,EXEC-MEM-CYCLE-20260713-1,JU-07,N-07,,support,primary_support,company_disclosure|industry_data|counter_evidence,多层库存|订单取消|实际拉货|交期|有效产能|价格序列,存储芯片分产品,2025-2028,product|company|quarter,Q3_directional_ready,S3,1,EB-JU-07,EB-JU-07,false,SP-COMPANY-DISCLOSURE|SP-INDUSTRY-DATA,AC-PUBLIC-WEB,不可复核搜索摘要|模型记忆,截至2026-07-13,URL、发布日期和业务期间可追溯,产品、公司、期间和价格口径分开,达到当前判断上限或来源层级耗尽,降级或停止对应判断单元,insufficient,insufficient,当前03计划层按判断单元生成
ER-01,EXEC-MEM-CYCLE-20260713-1,JU-01|JU-02,N-01,demand_orders,support,primary_support,company_disclosure|industry_data|counter_evidence,demand_orders,存储芯片分产品,2025-2028,product|company|quarter,Q3_directional_ready,S3,1,,,false,SP-COMPANY-DISCLOSURE|SP-INDUSTRY-DATA,AC-PUBLIC-WEB,不可复核搜索摘要|模型记忆,截至2026-07-13,URL、发布日期和业务期间可追溯,产品、公司、期间和价格口径分开,达到当前判断上限或来源层级耗尽,降级或停止对应判断单元,directional_only,insufficient,证据需求编号用于跨阶段引用
ER-02,EXEC-MEM-CYCLE-20260713-1,JU-01|JU-02|JU-04|JU-07,N-02|N-06,order_visibility,support,primary_support,company_disclosure|industry_data|counter_evidence,order_visibility,存储芯片分产品,2025-2028,product|company|quarter,Q3_directional_ready,S3,1,,,false,SP-COMPANY-DISCLOSURE|SP-INDUSTRY-DATA,AC-PUBLIC-WEB,不可复核搜索摘要|模型记忆,截至2026-07-13,URL、发布日期和业务期间可追溯,产品、公司、期间和价格口径分开,达到当前判断上限或来源层级耗尽,降级或停止对应判断单元,directional_only,insufficient,证据需求编号用于跨阶段引用
ER-03,EXEC-MEM-CYCLE-20260713-1,JU-01|JU-02|JU-03|JU-06|JU-07,N-03|N-05|N-07,supply_availability|capacity_tightness,support,primary_support,company_disclosure|industry_data|counter_evidence,supply_availability|capacity_tightness,存储芯片分产品,2025-2028,product|company|quarter,Q3_directional_ready,S3,1,,,false,SP-COMPANY-DISCLOSURE|SP-INDUSTRY-DATA,AC-PUBLIC-WEB,不可复核搜索摘要|模型记忆,截至2026-07-13,URL、发布日期和业务期间可追溯,产品、公司、期间和价格口径分开,达到当前判断上限或来源层级耗尽,降级或停止对应判断单元,directional_only,insufficient,证据需求编号用于跨阶段引用
ER-04,EXEC-MEM-CYCLE-20260713-1,JU-01|JU-04|JU-07,N-02|N-07,inventory_cycle_position,support,primary_support,company_disclosure|industry_data|counter_evidence,inventory_cycle_position,存储芯片分产品,2025-2028,product|company|quarter,Q3_directional_ready,S3,1,,,false,SP-COMPANY-DISCLOSURE|SP-INDUSTRY-DATA,AC-PUBLIC-WEB,不可复核搜索摘要|模型记忆,截至2026-07-13,URL、发布日期和业务期间可追溯,产品、公司、期间和价格口径分开,达到当前判断上限或来源层级耗尽,降级或停止对应判断单元,directional_only,insufficient,证据需求编号用于跨阶段引用
ER-05,EXEC-MEM-CYCLE-20260713-1,JU-05|JU-07,N-04|N-07,product_price_pressure|pricing_power,support,primary_support,company_disclosure|industry_data|counter_evidence,product_price_pressure|pricing_power,存储芯片分产品,2025-2028,product|company|quarter,Q3_directional_ready,S3,1,,,false,SP-COMPANY-DISCLOSURE|SP-INDUSTRY-DATA,AC-PUBLIC-WEB,不可复核搜索摘要|模型记忆,截至2026-07-13,URL、发布日期和业务期间可追溯,产品、公司、期间和价格口径分开,达到当前判断上限或来源层级耗尽,降级或停止对应判断单元,directional_only,insufficient,证据需求编号用于跨阶段引用
