coverage_id,execution_id,linked_judgment_unit_ids,state_binding_ref,observation_requirement_refs,state_variable_id,state_variable_name,evidence_profile_ref,used_by_path_nodes,anchor_instance_id,anchor_instance_type,linked_input_ids,linked_evidence_ids,linked_gap_ids,observation_count,quantitative_count,counter_evidence_count,mapping_status,profile_minimum_met,profile_gap_reasons,coverage_status,evidence_gate_status,evidence_gate_reason,inference_allowed,allowed_04_output,scope_limit,notes
SVC-001,EXEC-MEM-CYCLE-20260707-1,JU-01|JU-02,IR-SB-01,IR-OBS-01,end_market_demand_strength,终端需求强度,demand_orders,N-01|N-06,INST-AI-DC,Application,RI-01,EV-01,GAP-08,1,0,0,aligned,partial,缺部分产品实际需求与订单/交付验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-002,EXEC-MEM-CYCLE-20260707-1,,IR-SB-01,IR-OBS-01,end_market_demand_strength,终端需求强度,demand_orders,N-01|N-06,INST-APP-SERVER,Application,RI-19,EV-17,GAP-08,1,0,0,aligned,partial,无linked_input_ids|缺部分产品实际需求与订单/交付验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-003,EXEC-MEM-CYCLE-20260707-1,JU-04,IR-SB-01,IR-OBS-01,end_market_demand_strength,终端需求强度,demand_orders,N-01|N-06,INST-APP-CONS,Application,RI-02,EV-11,GAP-08,0,0,1,proxy,partial,缺部分产品实际需求与订单/交付验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-004,EXEC-MEM-CYCLE-20260707-1,JU-01|JU-02,IR-SB-02,IR-OBS-02,order_visibility,订单能见度,demand_orders,N-02|N-06,INST-P-HBM,Product,RI-20,EV-18,GAP-02,0,0,0,proxy,partial,无linked_input_ids|缺交付验证与行业取消率,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-005,EXEC-MEM-CYCLE-20260707-1,,IR-SB-02,IR-OBS-02,order_visibility,订单能见度,demand_orders,N-02|N-06,INST-P-DRAM,Product,RI-21,EV-19,GAP-02,0,0,0,aligned,partial,无linked_input_ids|缺交付验证与行业取消率,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-006,EXEC-MEM-CYCLE-20260707-1,JU-04,IR-SB-02,IR-OBS-02,order_visibility,订单能见度,demand_orders,N-02|N-06,INST-P-NAND,Product,RI-22,EV-20,GAP-02,0,1,0,aligned,partial,无linked_input_ids|缺交付验证与行业取消率,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-007,EXEC-MEM-CYCLE-20260707-1,JU-01|JU-07,IR-SB-03,IR-OBS-03,inventory_cycle_position,库存周期位置,inventory_cycle,N-02|N-07,INST-P-HBM,Product,RI-23,EV-21,GAP-01,0,0,0,proxy,not_met,无linked_input_ids|不足两个产业链层级|缺少连续时间序列|缺少终端需求对照,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-008,EXEC-MEM-CYCLE-20260707-1,JU-07,IR-SB-03,IR-OBS-03,inventory_cycle_position,库存周期位置,inventory_cycle,N-02|N-07,INST-P-DRAM,Product,RI-05,EV-05,GAP-01,1,0,0,aligned,not_met,不足两个产业链层级|缺少连续时间序列|缺少终端需求对照,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-009,EXEC-MEM-CYCLE-20260707-1,JU-04|JU-07,IR-SB-03,IR-OBS-03,inventory_cycle_position,库存周期位置,inventory_cycle,N-02|N-07,INST-P-NAND,Product,RI-24,EV-22,GAP-01,1,0,0,aligned,not_met,无linked_input_ids|不足两个产业链层级|缺少连续时间序列|缺少终端需求对照,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-010,EXEC-MEM-CYCLE-20260707-1,JU-01|JU-02|JU-03,IR-SB-04,IR-OBS-04,capacity_tightness,产能紧张度,capacity_supply,N-03|N-04|N-07,INST-P-HBM,Product,RI-17,EV-10,GAP-03,1,0,0,aligned,partial,缺有效产能或利用率|缺交期验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-011,EXEC-MEM-CYCLE-20260707-1,JU-03,IR-SB-04,IR-OBS-04,capacity_tightness,产能紧张度,capacity_supply,N-03|N-04|N-07,INST-P-DRAM,Product,RI-25,EV-23,GAP-03,1,0,0,aligned,partial,无linked_input_ids|缺有效产能或利用率|缺交期验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-012,EXEC-MEM-CYCLE-20260707-1,JU-04,IR-SB-04,IR-OBS-04,capacity_tightness,产能紧张度,capacity_supply,N-03|N-04|N-07,INST-P-NAND,Product,RI-26,EV-24,GAP-03,1,0,0,aligned,partial,无linked_input_ids|缺有效产能或利用率|缺交期验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-013,EXEC-MEM-CYCLE-20260707-1,JU-07,IR-SB-05,IR-OBS-05,product_price_pressure,产品价格压力,pricing_economics,N-04|N-07,INST-P-HBM,Product,RI-27,EV-25,GAP-13,1,0,0,aligned,partial,无linked_input_ids|HBM缺成交验证|竞争和需求影响检查不完整,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-014,EXEC-MEM-CYCLE-20260707-1,JU-02|JU-03,IR-SB-05,IR-OBS-05,product_price_pressure,产品价格压力,pricing_economics,N-04|N-07,INST-P-DRAM,Product,RI-06|RI-07|RI-08|RI-10,EV-02|EV-03|EV-04|EV-16,GAP-13,3,3,1,aligned,partial,HBM缺成交验证|竞争和需求影响检查不完整,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-015,EXEC-MEM-CYCLE-20260707-1,,IR-SB-05,IR-OBS-05,product_price_pressure,产品价格压力,pricing_economics,N-04|N-07,INST-P-NAND,Product,RI-09,EV-02,GAP-13,1,1,0,aligned,partial,HBM缺成交验证|竞争和需求影响检查不完整,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-016,EXEC-MEM-CYCLE-20260707-1,,IR-SB-06,IR-OBS-06,capacity_expansion_progress,产能扩张进展,capacity_supply,N-05|N-07,INST-F-MU-TONG,ManufacturingFacility,RI-12,EV-06,GAP-11,0,0,0,proxy,partial,只有扩产计划|缺少良率认证与稳定量产,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-017,EXEC-MEM-CYCLE-20260707-1,JU-01|JU-02,IR-SB-06,IR-OBS-06,capacity_expansion_progress,产能扩张进展,capacity_supply,N-05|N-07,INST-F-MU-SG,ManufacturingFacility,RI-28,EV-26,GAP-11,0,0,0,aligned,partial,无linked_input_ids|只有扩产计划|缺少良率认证与稳定量产,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-018,EXEC-MEM-CYCLE-20260707-1,,IR-SB-07,IR-OBS-07,supply_elasticity,供给响应弹性,capacity_supply,N-05|N-07,INST-P-HBM,Product,RI-14,EV-09,GAP-12,1,1,0,aligned,partial,缺分产品切换与恢复时间|替代供应检查不完整,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-019,EXEC-MEM-CYCLE-20260707-1,,IR-SB-07,IR-OBS-07,supply_elasticity,供给响应弹性,capacity_supply,N-05|N-07,INST-P-DRAM,Product,RI-29,EV-27,GAP-12,1,0,0,aligned,partial,无linked_input_ids|缺分产品切换与恢复时间|替代供应检查不完整,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-020,EXEC-MEM-CYCLE-20260707-1,JU-01|JU-03,IR-SB-07,IR-OBS-07,supply_elasticity,供给响应弹性,capacity_supply,N-05|N-07,INST-P-NAND,Product,RI-13,EV-07,GAP-12,0,0,0,proxy,partial,缺分产品切换与恢复时间|替代供应检查不完整,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
