fact_id,execution_id,statement,fact_type,business_time,normalized_value,unit,fact_confidence,about_instance_refs,status,created_at,notes
EV-01,EXEC-USCTRL-CNSEMI-EQP-20260710-1,2022年建立先进计算和设备定向控制,occurrence,2022-10-07,初始控制基线,text,high,INS-CONTROL,active,2026-07-10T19:20:00+08:00,
EV-02,EXEC-USCTRL-CNSEMI-EQP-20260710-1,2023年增加设备并收紧规避路径,occurrence,2023-10-17,控制范围加深,text,high,INS-CONTROL,active,2026-07-10T19:20:00+08:00,
EV-03,EXEC-USCTRL-CNSEMI-EQP-20260710-1,新增24类设备3类软件和140实体,occurrence,2024-12-02,覆盖多类前道设备及软件,text,high,INS-CONTROL,active,2026-07-10T19:20:00+08:00,不等于全面禁运
EV-04,EXEC-USCTRL-CNSEMI-EQP-20260710-1,外资在华晶圆厂VEU撤销并转许可管理,occurrence,2025-12-31,既有运营和扩产升级许可分开,text,high,INS-CONTROL,active,2026-07-10T19:20:00+08:00,
EV-05,EXEC-USCTRL-CNSEMI-EQP-20260710-1,附属实体规则暂停至2026年11月9日并预定恢复,occurrence,2025-11-10至2027-07-09,未来十二个月规则跟踪变量,text,high,INS-CONTROL,active,2026-07-10T19:20:00+08:00,当前未生效
EV-06,EXEC-USCTRL-CNSEMI-EQP-20260710-1,应用材料相关违规出口处罚约2.52亿美元,occurrence,2021-01-01至2026-02-12,252,USD_million,high,INS-CONTROL,active,2026-07-10T19:20:00+08:00,
EV-07,EXEC-USCTRL-CNSEMI-EQP-20260710-1,KLA中国收入占比仍显著但回落,attribute,2023至2025,27|43|33,percent,high,,active,2026-07-10T19:20:00+08:00,反面证据
EV-08,EXEC-USCTRL-CNSEMI-EQP-20260710-1,Axcelis仍可向绝大多数中国客户发货,attribute,2025,仍可供货,text,high,,active,2026-07-10T19:20:00+08:00,反面证据
EV-09,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ASML中国DUV业务强于预期,attribute,2025,成熟光刻供给仍有残余,text,high,,active,2026-07-10T19:20:00+08:00,反面证据
EV-10,EXEC-USCTRL-CNSEMI-EQP-20260710-1,中国2025设备销售493亿美元同比下降0.5%,measurement,2025,493,USD_billion,high,INS-INDUSTRY,active,2026-07-10T19:20:00+08:00,
EV-11,EXEC-USCTRL-CNSEMI-EQP-20260710-1,全球设备销售预计增长且中国领先但趋缓,attribute,2025至2027,全球向上与中国趋缓,text,medium,INS-INDUSTRY,active,2026-07-10T19:20:00+08:00,预测会修订
EV-12,EXEC-USCTRL-CNSEMI-EQP-20260710-1,华虹利用率高于100%且Fab9爬坡,measurement,2025,利用率高位,text,high,INS-INDUSTRY,active,2026-07-10T19:20:00+08:00,
EV-13,EXEC-USCTRL-CNSEMI-EQP-20260710-1,十余家设备公司出货超16000台且营收增长38.8%,measurement,2024,16000,unit_count,medium,INS-INDUSTRY,active,2026-07-10T19:20:00+08:00,
EV-14,EXEC-USCTRL-CNSEMI-EQP-20260710-1,北方华创营收393.53亿元同比30.85%且毛利下降,measurement,2025,393.53,CNY_100m,high,INS-NAURA,active,2026-07-10T19:20:00+08:00,
EV-15,EXEC-USCTRL-CNSEMI-EQP-20260710-1,中微LPCVD与ALD获大批量重复订单,occurrence,2025H1,大批量重复订单,text,high,INS-AMEC,active,2026-07-10T19:20:00+08:00,
EV-16,EXEC-USCTRL-CNSEMI-EQP-20260710-1,拓荆营收65.19亿元同比58.87%且混合键合获批量订单,measurement,2025,65.19,CNY_100m,high,INS-PIOTECH,active,2026-07-10T19:20:00+08:00,
EV-17,EXEC-USCTRL-CNSEMI-EQP-20260710-1,美国部件软件受限且替代需客户再认证,attribute,2025,再认证约束,text,high,INS-ACM,active,2026-07-10T19:20:00+08:00,
EV-18,EXEC-USCTRL-CNSEMI-EQP-20260710-1,华海清科装备收入40.54亿元且湿法批量销售,measurement,2025,40.54,CNY_100m,high,INS-HWATSING,active,2026-07-10T19:20:00+08:00,
EV-19,EXEC-USCTRL-CNSEMI-EQP-20260710-1,芯源微营收增长11.11%但净利下降64.64%,measurement,2025,-64.64,net_profit_yoy_percent,high,INS-KINGSEMI,active,2026-07-10T19:20:00+08:00,反面证据
EV-20,EXEC-USCTRL-CNSEMI-EQP-20260710-1,盛美上海营收67.86亿元同比20.80%,measurement,2025,67.86,CNY_100m,medium,INS-ACM,active,2026-07-10T19:20:00+08:00,
