instance_id,execution_id,requirement_id,linked_judgment_unit_ids,instance_type,name,canonical_name,stable_identifier,classification,scope,valid_from,valid_to,verification_status,source_run_refs,evidence_refs,notes
INS-IND-CN-EQP,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-04,JU-01|JU-02|JU-03|JU-04,Industry,中国半导体设备行业,China Semiconductor Equipment Industry,CN-SEMI-EQP,semiconductor_equipment,中国大陆,2022-10-07,,verified,SR-010|SR-013,EV-10|EV-13,主研究对象
INS-EVT-US-CONTROL,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-01,JU-01|JU-04,EventGroup,现行美国对华半导体设备管制规则集合,Effective US China SME Controls,US-CN-SME-CONTROL-SET,policy_event_group,美国规则对中国,2022-10-07,2026-07-10,verified,SR-001|SR-002|SR-003|SR-004|SR-005,EV-01|EV-02|EV-03|EV-04|EV-05,暂停条款不计当前生效
INS-CAT-ETCH,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-05,JU-02|JU-03,EquipmentCategory,刻蚀设备,Etch Equipment,CAT-ETCH,front_end_equipment,中国市场,2024-01-01,,verified,SR-014|SR-015,EV-14|EV-15,成熟商业化组
INS-CAT-DEPO,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-05,JU-02|JU-03,EquipmentCategory,薄膜沉积与热处理设备,Deposition and Thermal Equipment,CAT-DEPO,front_end_equipment,中国市场,2024-01-01,,verified,SR-014|SR-015|SR-016,EV-14|EV-15|EV-16,成熟商业化组
INS-CAT-CLEAN,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-05,JU-02|JU-03,EquipmentCategory,清洗与湿法设备,Cleaning and Wet Process Equipment,CAT-CLEAN,front_end_equipment,中国市场,2024-01-01,,verified,SR-014|SR-017|SR-018|SR-019|SR-020,EV-14|EV-17|EV-18|EV-19|EV-20,成熟度较高但上游依赖需跟踪
INS-CAT-CMP,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-05,JU-02|JU-03,EquipmentCategory,CMP减薄与先进封装设备,CMP Thinning and Advanced Packaging,CAT-CMP,front_end_and_packaging,中国市场,2024-01-01,,verified,SR-018,EV-18,强兑现组
INS-CAT-MI,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-06,JU-03|JU-04,EquipmentCategory,量测检测与离子注入设备,Metrology Inspection and Implant,CAT-MI,front_end_equipment,中国市场,2024-01-01,,verified,SR-007|SR-008|SR-018,EV-07|EV-08|EV-18,高紧迫中等兑现组
INS-CAT-LITHO,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-06,JU-03|JU-04,EquipmentCategory,高端涂胶显影与光刻设备,Advanced Track and Lithography,CAT-LITHO,front_end_equipment,中国市场,2024-01-01,,partial,SR-019,EV-19,高紧迫低公开兑现组
INS-COMP-NAURA,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-07,JU-02|JU-03,Company,北方华创,NAURA,002371,domestic_platform_equipment,中国,2025-01-01,2025-12-31,verified,SR-014,EV-14,平台型样本
INS-COMP-AMEC,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-05,JU-02|JU-03,Company,中微公司,AMEC,688012,etch_and_deposition,中国,2025-01-01,2025-12-31,verified,SR-015,EV-15,刻蚀沉积样本
INS-COMP-PIOTECH,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-07,JU-02|JU-03,Company,拓荆科技,Piotech,688072,deposition_and_bonding,中国,2025-01-01,2025-12-31,verified,SR-016,EV-16,薄膜与混合键合样本
INS-COMP-ACM,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-08,JU-03|JU-04,Company,盛美上海及ACM Research,ACM Research,688082|ACMR,cleaning_and_plating,中国及全球,2025-01-01,2025-12-31,verified,SR-017|SR-020,EV-17|EV-20,同时用于商业化和上游受限反证
INS-COMP-HWATSING,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-07,JU-02|JU-03,Company,华海清科,Hwatsing,688120,CMP_and_platform_expansion,中国,2025-01-01,2025-12-31,verified,SR-018,EV-18,CMP减薄离子注入湿法样本
INS-COMP-KINGSEMI,EXEC-USCTRL-CNSEMI-EQP-20260710-1,ER-07,JU-02|JU-03,Company,芯源微,Kingsemi,688037,track_and_cleaning,中国,2025-01-01,2025-12-31,verified,SR-019,EV-19,涂胶显影与清洗样本
