source_run_id,execution_id,source_id,source_name,source_group_id,independence_group_id,source_type,source_tier,source_status_at_run,recipe_id,access_mode,requested_at,retrieved_at,publication_time,business_time_start,business_time_end,source_locator,raw_artifact_ref,content_hash,retrieval_status,quality_status,directness,traceability,independence,time_relevance,scope_match,license_scope,notes
SR-001,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-BIS-2022,BIS 2022对华先进计算与设备规则,US-CONTROL,BIS-2022,official_page,S1,active,R-POLICY,public_web,2026-07-10T18:40:00+08:00,2026-07-10T18:41:00+08:00,2022-10-07,2022-10-07,2026-07-10,https://www.bis.gov/node/20292,web_page,not_captured,retrieved,high,direct,full,independent,high,high,public_link,初始控制
SR-002,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-BIS-2023,BIS 2023设备控制更新,US-CONTROL,BIS-2023,official_page,S1,active,R-POLICY,public_web,2026-07-10T18:40:00+08:00,2026-07-10T18:41:00+08:00,2023-10-17,2023-10-17,2026-07-10,https://www.bis.gov/press-release/commerce-strengthens-restrictions-advanced-computing-semiconductors-semiconductor-manufacturing-equipment,web_page,not_captured,retrieved,high,direct,full,independent,high,high,public_link,增加设备并封堵规避
SR-003,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-BIS-2024,BIS 2024先进半导体制造控制升级,US-CONTROL,BIS-2024,official_page,S1,active,R-POLICY,public_web,2026-07-10T18:40:00+08:00,2026-07-10T18:41:00+08:00,2024-12-02,2024-12-02,2026-07-10,https://www.bis.gov/press-release/commerce-strengthens-export-controls-restrict-chinas-capability-produce-advanced-semiconductors-military,web_page,not_captured,retrieved,high,direct,full,independent,high,high,public_link,24类设备3类软件140实体
SR-004,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-BIS-VEU,BIS撤销中国外资晶圆厂VEU,US-CONTROL,BIS-VEU,official_page,S1,active,R-POLICY,public_web,2026-07-10T18:42:00+08:00,2026-07-10T18:43:00+08:00,2025-08-29,2025-12-31,2026-07-10,https://www.bis.gov/press-release/department-commerce-closes-export-controls-loophole-foreign-owned-semiconductor-fabs-china,web_page,not_captured,retrieved,high,direct,full,independent,high,high,public_link,既有运营许可意向不含扩产升级
SR-005,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-BIS-AFFIL,附属实体规则暂停与恢复安排,US-CONTROL,BIS-AFFIL,official_rule,S1,active,R-POLICY,public_web,2026-07-10T18:42:00+08:00,2026-07-10T18:43:00+08:00,2025-11-12,2025-11-10,2027-07-09,https://public-inspection.federalregister.gov/2025-19846.pdf,public_pdf,not_captured,retrieved,high,direct,full,independent,high,high,public_link,2026-11-10未来跟踪变量
SR-006,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-BIS-PENALTY,BIS应用材料违规出口处罚,US-ENFORCEMENT,BIS-PENALTY,official_page,S1,active,R-POLICY,public_web,2026-07-10T18:42:00+08:00,2026-07-10T18:43:00+08:00,2026-02-12,2021-01-01,2026-02-12,https://media.bis.gov/press-release/applied-materials-pay-252-million-penalty-bis-illegally-exporting-semiconductor-manufacturing-equipment,web_page,not_captured,retrieved,high,direct,full,independent,high,high,public_link,约2.52亿美元
SR-007,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-KLA-2025,KLA 2025财年年报,FOREIGN,KLA,annual_report,S2,active,R-SUPPLY,public_web,2026-07-10T18:45:00+08:00,2026-07-10T18:46:00+08:00,2025-08-08,2023-07-01,2025-06-30,https://www.sec.gov/Archives/edgar/data/319201/000031920125000024/klac-20250630.htm,sec_filing,not_captured,retrieved,high,direct,full,independent,high,medium,public_link,中国收入占比27 43 33
SR-008,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-AXCELIS-2025,Axcelis 2025年年报,FOREIGN,AXCELIS,annual_report,S2,active,R-SUPPLY,public_web,2026-07-10T18:45:00+08:00,2026-07-10T18:46:00+08:00,2026-02-20,2025-01-01,2025-12-31,https://www.sec.gov/Archives/edgar/data/1113232/000110465926020461/acls-20251231x10k.htm,sec_filing,not_captured,retrieved,high,direct,full,independent,high,medium,public_link,仍可向绝大多数中国客户发货
SR-009,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-ASML-2025,ASML 2025年度报告,FOREIGN,ASML,annual_report,S2,active,R-SUPPLY,public_web,2026-07-10T18:45:00+08:00,2026-07-10T18:46:00+08:00,2026-02-25,2025-01-01,2025-12-31,https://www.asml.com/en/investors/annual-report/2025/financials,annual_report,not_captured,retrieved,high,direct,full,independent,high,medium,public_link,中国DUV强于预期
SR-010,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-SEMI-BILLINGS,SEMI 2025设备销售实际统计,INDUSTRY,SEMI-BILLINGS,industry_release,S2,active,R-DEMAND,public_web,2026-07-10T18:48:00+08:00,2026-07-10T18:49:00+08:00,2026-04-07,2025-01-01,2025-12-31,https://www.semi.org/en/SEMI-Reports-Global-Semiconductor-Equipment-Billings-Reached-135-Billion-in-2025,web_page,not_captured,retrieved,high,direct,full,independent,high,high,public_link,中国493亿美元同比下降0.5%
